Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.5161290322580645,0.40079365079365076,,0.5299539170506913,0.1266613006591797
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.4064516129032258,0.03091716766357422
RidgeClassifier,0.4838709677419355,0.32142857142857145,,0.43440860215053756,0.028922557830810547
PassiveAggressiveClassifier,0.3870967741935484,0.3134920634920635,,0.43855606758832566,0.08177757263183594
LinearDiscriminantAnalysis,0.45161290322580644,0.3055555555555555,,0.4301075268817204,0.028225421905517578
ExtraTreesClassifier,0.45161290322580644,0.3055555555555555,,0.4141181399245915,0.2608165740966797
RandomForestClassifier,0.41935483870967744,0.28174603174603174,,0.3439324116743471,0.2952096462249756
Perceptron,0.3548387096774194,0.2698412698412698,,0.3548387096774194,0.06283116340637207
GaussianNB,0.3548387096774194,0.2698412698412698,,0.24929693961952024,0.027928590774536133
SGDClassifier,0.3870967741935484,0.246031746031746,,0.3706093189964157,0.20746135711669922
NearestCentroid,0.3225806451612903,0.246031746031746,,0.35576036866359445,0.02792501449584961
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.3742959549411162,3.1751089096069336
LabelSpreading,0.3870967741935484,0.2341269841269841,,0.39170506912442393,0.02393960952758789
LabelPropagation,0.3870967741935484,0.2341269841269841,,0.39170506912442393,0.021938800811767578
LinearSVC,0.3548387096774194,0.23015873015873015,,0.3763440860215054,0.1156926155090332
ExtraTreeClassifier,0.2903225806451613,0.21825396825396823,,0.25467328370554176,0.07587432861328125
BaggingClassifier,0.2903225806451613,0.1865079365079365,,0.2559139784946237,0.12122321128845215
KNeighborsClassifier,0.3225806451612903,0.1746031746031746,,0.2927663734115347,0.024884462356567383
CalibratedClassifierCV,0.25806451612903225,0.1746031746031746,,0.1805367308213608,0.6622312068939209
DecisionTreeClassifier,0.2903225806451613,0.15873015873015872,,0.283088954056696,1.4902732372283936
BernoulliNB,0.25806451612903225,0.15079365079365079,,0.19384379061798412,0.03191637992858887
SVC,0.25806451612903225,0.14285714285714285,,0.13130095710740872,1.4284436702728271
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.236161470413208
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.08602150537634408,0.2746238708496094
