Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.5161290322580645,0.40079365079365076,,0.5299539170506913,0.10476207733154297
ExtraTreesClassifier,0.4838709677419355,0.35317460317460314,,0.4310291858678955,0.15857505798339844
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.41935483870967744,0.03295159339904785
RidgeClassifier,0.4838709677419355,0.32142857142857145,,0.43440860215053756,0.0219423770904541
LinearDiscriminantAnalysis,0.45161290322580644,0.3055555555555555,,0.4301075268817204,0.035866498947143555
RandomForestClassifier,0.41935483870967744,0.28174603174603174,,0.35253456221198154,0.26189279556274414
GaussianNB,0.3548387096774194,0.2698412698412698,,0.24929693961952024,0.02892017364501953
BaggingClassifier,0.3225806451612903,0.246031746031746,,0.24408602150537634,0.13164710998535156
NearestCentroid,0.3225806451612903,0.246031746031746,,0.35576036866359445,0.023935556411743164
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.3742959549411162,1.487628698348999
LabelPropagation,0.3870967741935484,0.2341269841269841,,0.39170506912442393,0.0259706974029541
LabelSpreading,0.3870967741935484,0.2341269841269841,,0.39170506912442393,0.025928258895874023
LinearSVC,0.3225806451612903,0.21825396825396823,,0.35791090629800304,0.1386277675628662
PassiveAggressiveClassifier,0.3225806451612903,0.21825396825396823,,0.36328725038402454,0.1156916618347168
CalibratedClassifierCV,0.3225806451612903,0.2103174603174603,,0.27516038673533927,0.5864017009735107
SGDClassifier,0.25806451612903225,0.19047619047619047,,0.2804915514592934,0.055811405181884766
KNeighborsClassifier,0.3225806451612903,0.1746031746031746,,0.2927663734115347,0.026928424835205078
BernoulliNB,0.2903225806451613,0.1746031746031746,,0.22734254992319508,0.03295183181762695
Perceptron,0.2903225806451613,0.1706349206349206,,0.3224270353302611,0.11668705940246582
DecisionTreeClassifier,0.25806451612903225,0.14285714285714285,,0.24437927663734113,0.06283044815063477
SVC,0.25806451612903225,0.14285714285714285,,0.13130095710740872,0.03789877891540527
AdaBoostClassifier,0.1935483870967742,0.07142857142857142,,0.17204301075268816,0.3510591983795166
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.019946575164794922
ExtraTreeClassifier,0.06451612903225806,0.031746031746031744,,0.0774193548387097,0.02493429183959961
