Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
Perceptron,0.8064516129032258,0.8308080808080808,0.8308080808080808,0.8143695014662756,0.011968851089477539
NearestCentroid,0.8064516129032258,0.8308080808080808,0.8308080808080808,0.8143695014662756,0.012964725494384766
LogisticRegression,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.031064510345458984
SGDClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.013022184371948242
RidgeClassifierCV,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.016955137252807617
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.013962268829345703
PassiveAggressiveClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.010964155197143555
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.025483369827270508
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.020943641662597656
BernoulliNB,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,0.00996255874633789
XGBClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.1475663185119629
AdaBoostClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.160569429397583
NuSVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.014966487884521484
LinearSVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.03291058540344238
LinearDiscriminantAnalysis,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.016956806182861328
KNeighborsClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.17648649215698242
ExtraTreesClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.1648726463317871
CalibratedClassifierCV,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.06382894515991211
GaussianNB,0.7419354838709677,0.7196969696969697,0.7196969696969695,0.748694316436252,0.013040542602539062
SVC,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.013943672180175781
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.12566494941711426
BaggingClassifier,0.7419354838709677,0.6868686868686869,0.6868686868686869,0.7419354838709677,0.05386638641357422
RandomForestClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.16782164573669434
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.02296161651611328
ExtraTreeClassifier,0.5806451612903226,0.5404040404040404,0.5404040404040403,0.5952568281443184,0.0109710693359375
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.013963937759399414
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.010944604873657227
