Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.8709677419354839,0.9090909090909092,0.9090909090909091,0.8762463343108504,0.02293992042541504
LGBMClassifier,0.9032258064516129,0.898989898989899,0.898989898989899,0.9046472144351878,0.06382942199707031
LogisticRegression,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.03590536117553711
PassiveAggressiveClassifier,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.01894974708557129
XGBClassifier,0.8709677419354839,0.8434343434343434,0.8434343434343433,0.8709677419354839,0.11269974708557129
RidgeClassifierCV,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.052870750427246094
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.03889799118041992
NuSVC,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.041887521743774414
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.025934696197509766
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.019942283630371094
ExtraTreesClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.140625
SVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.06582307815551758
LinearSVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.04587697982788086
LinearDiscriminantAnalysis,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.02313399314880371
KNeighborsClassifier,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.019946575164794922
NearestCentroid,0.6129032258064516,0.7272727272727273,0.7272727272727273,0.6177419354838709,0.03291177749633789
GaussianNB,0.7419354838709677,0.7196969696969697,0.7196969696969695,0.748694316436252,0.01994633674621582
SGDClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.03790402412414551
CalibratedClassifierCV,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.08933305740356445
RandomForestClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.21442556381225586
Perceptron,0.6774193548387096,0.6742424242424242,0.6742424242424243,0.690615835777126,0.017952680587768555
BaggingClassifier,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.07730770111083984
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.016955137252807617
AdaBoostClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.1547069549560547
ExtraTreeClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.01795196533203125
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.017952680587768555
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.015957355499267578
