Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.8709677419354839,0.9090909090909092,0.9090909090909091,0.8762463343108504,0.03989410400390625
LGBMClassifier,0.9032258064516129,0.898989898989899,0.898989898989899,0.9046472144351878,0.0718073844909668
LogisticRegression,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.03490591049194336
RidgeClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.022899150848388672
PassiveAggressiveClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.030917644500732422
LinearSVC,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.03690314292907715
LinearDiscriminantAnalysis,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.027386903762817383
XGBClassifier,0.8709677419354839,0.8434343434343434,0.8434343434343433,0.8709677419354839,0.08273911476135254
NuSVC,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.042883872985839844
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.02692699432373047
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.024933815002441406
ExtraTreesClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.16655707359313965
RidgeClassifierCV,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.02397465705871582
SGDClassifier,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,0.021903276443481445
SVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.02198004722595215
CalibratedClassifierCV,0.8387096774193549,0.7550505050505051,0.7550505050505051,0.8277282086479067,0.07779121398925781
KNeighborsClassifier,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.03989243507385254
NearestCentroid,0.6129032258064516,0.7272727272727273,0.7272727272727273,0.6177419354838709,0.038280487060546875
ExtraTreeClassifier,0.6774193548387096,0.6742424242424242,0.6742424242424243,0.690615835777126,0.052858829498291016
Perceptron,0.6129032258064516,0.6616161616161615,0.6616161616161615,0.62944582299421,0.025444984436035156
BaggingClassifier,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.20145392417907715
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.05784440040588379
RandomForestClassifier,0.7419354838709677,0.6212121212121212,0.6212121212121211,0.7158218125960061,0.18654608726501465
AdaBoostClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,1.8500268459320068
GaussianNB,0.3548387096774194,0.5454545454545454,0.5454545454545454,0.255800792303339,0.027924537658691406
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.040891408920288086
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.0578463077545166
