Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9032258064516129,0.898989898989899,0.898989898989899,0.9046472144351878,0.07878994941711426
LogisticRegression,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.037899017333984375
BernoulliNB,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.05080819129943848
SGDClassifier,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.07380032539367676
PassiveAggressiveClassifier,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.02293848991394043
XGBClassifier,0.8709677419354839,0.8434343434343434,0.8434343434343433,0.8709677419354839,0.14162015914916992
NuSVC,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.025929927825927734
RidgeClassifierCV,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.07081341743469238
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.023899078369140625
Perceptron,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.023937702178955078
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.025516986846923828
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.03789949417114258
CalibratedClassifierCV,0.8709677419354839,0.7777777777777778,0.7777777777777778,0.857910906298003,0.11754083633422852
LinearDiscriminantAnalysis,0.7741935483870968,0.7752525252525253,0.7752525252525252,0.7820613690007868,0.06278848648071289
SVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.10671329498291016
LinearSVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.08676791191101074
KNeighborsClassifier,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.0249330997467041
RandomForestClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.1981031894683838
NearestCentroid,0.6129032258064516,0.7272727272727273,0.7272727272727273,0.6177419354838709,0.027914047241210938
ExtraTreesClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.16954588890075684
GaussianNB,0.5806451612903226,0.7045454545454546,0.7045454545454546,0.5806451612903226,0.02493429183959961
BaggingClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.11169719696044922
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.023935317993164062
AdaBoostClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,1.7565147876739502
ExtraTreeClassifier,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.024933576583862305
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.027924537658691406
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02294015884399414
