Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9032258064516129,0.898989898989899,0.898989898989899,0.9046472144351878,0.07480120658874512
BernoulliNB,0.8387096774193549,0.8863636363636364,0.8863636363636364,0.8459021109792498,0.02692723274230957
LogisticRegression,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.03091716766357422
RidgeClassifierCV,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.03390836715698242
RidgeClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.027925491333007812
Perceptron,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.04986858367919922
LinearSVC,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.03390789031982422
XGBClassifier,0.8709677419354839,0.8434343434343434,0.8434343434343433,0.8709677419354839,0.11668610572814941
LinearDiscriminantAnalysis,0.8064516129032258,0.8308080808080808,0.8308080808080808,0.8143695014662756,0.036902427673339844
PassiveAggressiveClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.021939516067504883
NuSVC,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.027927160263061523
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.03889799118041992
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.02991938591003418
SVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.04986429214477539
ExtraTreesClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.17905688285827637
CalibratedClassifierCV,0.8387096774193549,0.7550505050505051,0.7550505050505051,0.8277282086479067,0.08077669143676758
KNeighborsClassifier,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.02792501449584961
NearestCentroid,0.6129032258064516,0.7272727272727273,0.7272727272727273,0.6177419354838709,0.023935556411743164
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.02792644500732422
RandomForestClassifier,0.7419354838709677,0.6212121212121212,0.6212121212121211,0.7158218125960061,0.2862968444824219
SGDClassifier,0.5483870967741935,0.6161616161616161,0.6161616161616161,0.562618595825427,0.030919313430786133
BaggingClassifier,0.6774193548387096,0.6085858585858586,0.6085858585858586,0.6774193548387096,0.08178162574768066
AdaBoostClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.16954660415649414
GaussianNB,0.3548387096774194,0.5454545454545454,0.5454545454545454,0.255800792303339,0.02792644500732422
ExtraTreeClassifier,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.02692580223083496
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.026929140090942383
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.053853750228881836
