Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.8387096774193549,0.7733333333333333,0.7733333333333333,0.8432673317465944,0.03191423416137695
RidgeClassifierCV,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.03789567947387695
RidgeClassifier,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.03690481185913086
PassiveAggressiveClassifier,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.029921293258666992
CalibratedClassifierCV,0.8387096774193549,0.71,0.7100000000000001,0.8329595767925939,0.09130477905273438
Perceptron,0.7096774193548387,0.6933333333333334,0.6933333333333334,0.7362428842504743,0.019945383071899414
BernoulliNB,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.04687356948852539
SGDClassifier,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.024936437606811523
NearestCentroid,0.7741935483870968,0.6699999999999999,0.67,0.7805742644452323,0.0329136848449707
LogisticRegression,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.033908843994140625
AdaBoostClassifier,0.8387096774193549,0.6466666666666666,0.6466666666666666,0.8163927774396428,0.32793140411376953
LinearDiscriminantAnalysis,0.7096774193548387,0.63,0.6300000000000001,0.7294440631434456,0.050865888595581055
GaussianNB,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.018910646438598633
KNeighborsClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.024933576583862305
ExtraTreesClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.14864158630371094
LGBMClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.12267303466796875
ExtraTreeClassifier,0.6774193548387096,0.5466666666666666,0.5466666666666666,0.6937403993855608,0.018949270248413086
BaggingClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,1.625739574432373
LabelSpreading,0.8064516129032258,0.5,0.5,0.7200460829493087,0.02692699432373047
LabelPropagation,0.8064516129032258,0.5,0.5,0.7200460829493087,0.025930404663085938
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.019943952560424805
SVC,0.8064516129032258,0.5,0.5,0.7200460829493087,0.026923418045043945
DecisionTreeClassifier,0.6774193548387096,0.48333333333333334,0.4833333333333334,0.6774193548387097,0.03888273239135742
RandomForestClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.19248604774475098
XGBClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.19547653198242188
QuadraticDiscriminantAnalysis,0.6129032258064516,0.4433333333333333,0.4433333333333333,0.6324884792626727,0.03690052032470703
