Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.8387096774193549,0.7733333333333333,0.7733333333333333,0.8432673317465944,0.0329134464263916
RidgeClassifierCV,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.0388941764831543
RidgeClassifier,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.03641366958618164
PassiveAggressiveClassifier,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.028963088989257812
CalibratedClassifierCV,0.8387096774193549,0.71,0.7100000000000001,0.8329595767925939,1.0111052989959717
BernoulliNB,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.03191494941711426
NearestCentroid,0.7741935483870968,0.6699999999999999,0.67,0.7805742644452323,0.025893449783325195
LinearDiscriminantAnalysis,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.056886911392211914
Perceptron,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.027923583984375
LogisticRegression,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.04388093948364258
AdaBoostClassifier,0.8387096774193549,0.6466666666666666,0.6466666666666666,0.8163927774396428,0.2852356433868408
QuadraticDiscriminantAnalysis,0.7096774193548387,0.63,0.6300000000000001,0.7294440631434456,0.05285930633544922
SGDClassifier,0.7419354838709677,0.5866666666666667,0.5866666666666666,0.7419354838709676,0.028922557830810547
DecisionTreeClassifier,0.7096774193548387,0.5666666666666667,0.5666666666666667,0.7178811971438701,0.09775137901306152
KNeighborsClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.03392338752746582
GaussianNB,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.039444684982299805
ExtraTreeClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.026927709579467773
LabelSpreading,0.8064516129032258,0.5,0.5,0.7200460829493087,0.028923511505126953
LabelPropagation,0.8064516129032258,0.5,0.5,0.7200460829493087,0.027909278869628906
ExtraTreesClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.14860224723815918
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.039891958236694336
SVC,0.8064516129032258,0.5,0.5,0.7200460829493087,0.03191542625427246
RandomForestClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.27901315689086914
XGBClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.14062285423278809
LGBMClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.17054510116577148
BaggingClassifier,0.7096774193548387,0.44,0.44,0.6695069993913572,0.10571789741516113
