Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.029919862747192383
RidgeClassifierCV,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.04543185234069824
RidgeClassifier,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.02838301658630371
PassiveAggressiveClassifier,0.7419354838709677,0.7133333333333334,0.7133333333333333,0.7629733520336606,0.03391003608703613
CalibratedClassifierCV,0.8387096774193549,0.71,0.7100000000000001,0.8329595767925939,0.07080960273742676
BernoulliNB,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.02693033218383789
NearestCentroid,0.7741935483870968,0.6699999999999999,0.67,0.7805742644452323,0.0418856143951416
LinearDiscriminantAnalysis,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.0578460693359375
LogisticRegression,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.042886972427368164
AdaBoostClassifier,0.8387096774193549,0.6466666666666666,0.6466666666666666,0.8163927774396428,0.2749471664428711
Perceptron,0.7096774193548387,0.63,0.6300000000000001,0.7294440631434456,0.029923677444458008
SGDClassifier,0.6774193548387096,0.61,0.6100000000000001,0.7037166900420757,0.034906864166259766
DecisionTreeClassifier,0.7096774193548387,0.5666666666666667,0.5666666666666667,0.7178811971438701,0.03192448616027832
KNeighborsClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.032912492752075195
ExtraTreesClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,1.7913720607757568
RandomForestClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.1934807300567627
GaussianNB,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.02889537811279297
LabelPropagation,0.8064516129032258,0.5,0.5,0.7200460829493087,0.02692723274230957
LabelSpreading,0.8064516129032258,0.5,0.5,0.7200460829493087,0.028922319412231445
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.026929140090942383
SVC,0.8064516129032258,0.5,0.5,0.7200460829493087,0.02796339988708496
QuadraticDiscriminantAnalysis,0.5806451612903226,0.4866666666666667,0.48666666666666664,0.6190174994729074,0.045874595642089844
XGBClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.16405797004699707
LGBMClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.13281893730163574
BaggingClassifier,0.7096774193548387,0.44,0.44,0.6695069993913572,0.08083128929138184
ExtraTreeClassifier,0.5806451612903226,0.42333333333333334,0.42333333333333334,0.6091969800960879,0.035901784896850586
