Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.8709677419354839,0.73,0.73,0.8605459057071959,0.009016990661621094
KNeighborsClassifier,0.8709677419354839,0.73,0.73,0.8605459057071959,0.011928081512451172
DecisionTreeClassifier,0.6774193548387096,0.5466666666666666,0.5466666666666666,0.6937403993855608,0.01196432113647461
ExtraTreesClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.10770893096923828
LGBMClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.0518496036529541
GaussianNB,0.22580645161290322,0.52,0.52,0.12655086848635236,0.007979154586791992
CalibratedClassifierCV,0.8064516129032258,0.5,0.5,0.7200460829493087,0.04683709144592285
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.007979631423950195
QuadraticDiscriminantAnalysis,0.8064516129032258,0.5,0.5,0.7200460829493087,0.010889053344726562
PassiveAggressiveClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.009972572326660156
SVC,0.7741935483870968,0.48,0.48,0.7038123167155426,0.009977102279663086
RidgeClassifierCV,0.7741935483870968,0.48,0.48,0.7038123167155426,0.011665821075439453
RidgeClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.008974552154541016
RandomForestClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.1266641616821289
Perceptron,0.7741935483870968,0.48,0.48,0.7038123167155426,0.007978439331054688
AdaBoostClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.10771298408508301
NearestCentroid,0.7741935483870968,0.48,0.48,0.7038123167155426,0.009973526000976562
LogisticRegression,0.7741935483870968,0.48,0.48,0.7038123167155426,0.009972333908081055
LinearDiscriminantAnalysis,0.7741935483870968,0.48,0.48,0.7038123167155426,0.011688709259033203
LabelSpreading,0.7741935483870968,0.48,0.48,0.7038123167155426,0.009973287582397461
LabelPropagation,0.7741935483870968,0.48,0.48,0.7038123167155426,0.008977890014648438
LinearSVC,0.7741935483870968,0.48,0.48,0.7038123167155426,0.009973764419555664
BaggingClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.02897357940673828
SGDClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.008975982666015625
BernoulliNB,0.7419354838709677,0.46,0.46,0.6869772998805257,0.009006261825561523
XGBClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.06383585929870605
