Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifier,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.03089761734008789
RidgeClassifierCV,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.046874284744262695
BernoulliNB,0.8064516129032258,0.7261904761904762,0.7261904761904762,0.7906732117812062,0.04587745666503906
LinearSVC,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.025932788848876953
LogisticRegression,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.05086207389831543
SGDClassifier,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.03391003608703613
ExtraTreesClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.14864349365234375
PassiveAggressiveClassifier,0.6774193548387096,0.6571428571428571,0.6571428571428573,0.684017595307918,0.029919147491455078
Perceptron,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.03390812873840332
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.03789949417114258
SVC,0.7741935483870968,0.65,0.65,0.7295285359801488,0.030901432037353516
GaussianNB,0.6129032258064516,0.6095238095238096,0.6095238095238096,0.6247877758913413,0.030916213989257812
CalibratedClassifierCV,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.10571837425231934
KNeighborsClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.0329132080078125
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.03590250015258789
LinearDiscriminantAnalysis,0.6129032258064516,0.5833333333333333,0.5833333333333333,0.6208211143695014,0.052857160568237305
DecisionTreeClassifier,0.6129032258064516,0.5833333333333333,0.5833333333333333,0.6208211143695014,0.03191518783569336
AdaBoostClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.3530538082122803
RandomForestClassifier,0.7096774193548387,0.5761904761904761,0.5761904761904761,0.65225097483162,0.2219405174255371
XGBClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.12765741348266602
LGBMClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.12067675590515137
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5095238095238095,0.5095238095238095,0.5576246334310851,0.04040670394897461
ExtraTreeClassifier,0.6129032258064516,0.5047619047619047,0.5047619047619047,0.5813464235624125,0.020945310592651367
LabelSpreading,0.3225806451612903,0.5,0.5,0.15735641227380015,0.022935152053833008
LabelPropagation,0.3225806451612903,0.5,0.5,0.15735641227380015,0.02493739128112793
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.020943403244018555
BaggingClassifier,0.5806451612903226,0.4809523809523809,0.4809523809523809,0.5576217583807717,0.10407090187072754
