Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifier,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.038933753967285156
BernoulliNB,0.8064516129032258,0.7261904761904762,0.7261904761904762,0.7906732117812062,0.027926206588745117
PassiveAggressiveClassifier,0.7096774193548387,0.7071428571428571,0.7071428571428571,0.7174452475995252,0.033057451248168945
CalibratedClassifierCV,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.06441926956176758
LogisticRegression,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.03932356834411621
RidgeClassifierCV,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.05585026741027832
LinearSVC,0.7096774193548387,0.680952380952381,0.680952380952381,0.7130493424749915,0.029962539672851562
SGDClassifier,0.7096774193548387,0.680952380952381,0.680952380952381,0.7130493424749915,0.0329129695892334
ExtraTreesClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.13012075424194336
Perceptron,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.029920101165771484
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.03989768028259277
SVC,0.7741935483870968,0.65,0.65,0.7295285359801488,0.0488283634185791
ExtraTreeClassifier,0.6774193548387096,0.6309523809523809,0.6309523809523809,0.6774193548387096,0.029920101165771484
DecisionTreeClassifier,0.6774193548387096,0.6309523809523809,0.6309523809523809,0.6774193548387096,0.04987668991088867
RandomForestClassifier,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.19453811645507812
GaussianNB,0.6129032258064516,0.6095238095238096,0.6095238095238096,0.6247877758913413,0.0289614200592041
KNeighborsClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.029883146286010742
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.03789639472961426
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5809523809523809,0.5809523809523809,0.6399494610494728,0.04158806800842285
AdaBoostClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.20050287246704102
LinearDiscriminantAnalysis,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.06145787239074707
LGBMClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.11668777465820312
LabelSpreading,0.3225806451612903,0.5,0.5,0.15735641227380015,0.030915498733520508
LabelPropagation,0.3225806451612903,0.5,0.5,0.15735641227380015,0.026927709579467773
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.053411245346069336
XGBClassifier,0.6129032258064516,0.47857142857142854,0.47857142857142854,0.554147465437788,0.13065075874328613
BaggingClassifier,0.5161290322580645,0.43333333333333335,0.43333333333333324,0.5090219923401903,0.0837559700012207
