Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifierCV,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.05086660385131836
RidgeClassifier,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.042885541915893555
Perceptron,0.7096774193548387,0.7333333333333334,0.7333333333333333,0.7190932868352223,0.0718076229095459
BernoulliNB,0.8064516129032258,0.7261904761904762,0.7261904761904762,0.7906732117812062,0.06294536590576172
LogisticRegression,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.08676862716674805
LinearSVC,0.7096774193548387,0.680952380952381,0.680952380952381,0.7130493424749915,0.057845354080200195
ExtraTreesClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.3650245666503906
SGDClassifier,0.6774193548387096,0.6571428571428571,0.6571428571428573,0.684017595307918,0.0418856143951416
CalibratedClassifierCV,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.10525345802307129
DecisionTreeClassifier,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.06283164024353027
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.04986572265625
SVC,0.7741935483870968,0.65,0.65,0.7295285359801488,0.04587674140930176
RandomForestClassifier,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,1.9446029663085938
GaussianNB,0.6129032258064516,0.6095238095238096,0.6095238095238096,0.6247877758913413,0.05385446548461914
KNeighborsClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.05984067916870117
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.06283450126647949
PassiveAggressiveClassifier,0.6129032258064516,0.5833333333333333,0.5833333333333333,0.6208211143695014,0.06881523132324219
AdaBoostClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.44840550422668457
ExtraTreeClassifier,0.7096774193548387,0.5761904761904761,0.5761904761904761,0.65225097483162,1.5662219524383545
LinearDiscriminantAnalysis,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.10671401023864746
XGBClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.2887413501739502
LGBMClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.1725330352783203
LabelSpreading,0.3225806451612903,0.5,0.5,0.15735641227380015,0.06185102462768555
LabelPropagation,0.3225806451612903,0.5,0.5,0.15735641227380015,0.06781864166259766
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.053048133850097656
QuadraticDiscriminantAnalysis,0.5161290322580645,0.43333333333333335,0.43333333333333324,0.5090219923401903,0.06782007217407227
BaggingClassifier,0.5483870967741935,0.4309523809523809,0.4309523809523809,0.511570827489481,0.16356253623962402
