Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.8064516129032258,0.7785714285714285,0.7785714285714286,0.8064516129032258,0.036647796630859375
RidgeClassifierCV,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.03352189064025879
RidgeClassifier,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.02393364906311035
BernoulliNB,0.8064516129032258,0.7261904761904762,0.7261904761904762,0.7906732117812062,0.021933555603027344
LogisticRegression,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.031914710998535156
LinearSVC,0.7096774193548387,0.680952380952381,0.680952380952381,0.7130493424749915,0.024934053421020508
ExtraTreesClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.2453444004058838
CalibratedClassifierCV,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.05684828758239746
PassiveAggressiveClassifier,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.02593088150024414
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.02692723274230957
SVC,0.7741935483870968,0.65,0.65,0.7295285359801488,0.023934602737426758
Perceptron,0.6774193548387096,0.6309523809523809,0.6309523809523809,0.6774193548387096,0.022939443588256836
GaussianNB,0.6129032258064516,0.6095238095238096,0.6095238095238096,0.6247877758913413,0.020943641662597656
KNeighborsClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.023936986923217773
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.023936748504638672
SGDClassifier,0.6451612903225806,0.5809523809523809,0.5809523809523809,0.6399494610494728,0.023937702178955078
AdaBoostClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,1.761721134185791
ExtraTreeClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.03187751770019531
RandomForestClassifier,0.7096774193548387,0.5761904761904761,0.5761904761904761,0.65225097483162,0.1758124828338623
LinearDiscriminantAnalysis,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.04587697982788086
DecisionTreeClassifier,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.029919862747192383
XGBClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.11070418357849121
LGBMClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.46686339378356934
LabelSpreading,0.3225806451612903,0.5,0.5,0.15735641227380015,0.035903215408325195
LabelPropagation,0.3225806451612903,0.5,0.5,0.15735641227380015,0.039893150329589844
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.018991470336914062
BaggingClassifier,0.6129032258064516,0.47857142857142854,0.47857142857142854,0.554147465437788,0.07979273796081543
