Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
DecisionTreeClassifier,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.02992701530456543
LinearDiscriminantAnalysis,0.7419354838709677,0.7386363636363636,0.7386363636363636,0.7458970005659309,0.06382870674133301
XGBClassifier,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.18550348281860352
LGBMClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.13464021682739258
ExtraTreesClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.20145893096923828
BaggingClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.09154605865478516
BernoulliNB,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.022977828979492188
RidgeClassifier,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.037899017333984375
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.06781220436096191
RidgeClassifierCV,0.5806451612903226,0.5113636363636364,0.5113636363636364,0.5621668575038496,0.04587507247924805
SGDClassifier,0.5806451612903226,0.5113636363636364,0.5113636363636364,0.5621668575038496,0.05978059768676758
NearestCentroid,0.5161290322580645,0.5022727272727273,0.5022727272727273,0.5255448997384482,0.027924299240112305
LabelSpreading,0.6451612903225806,0.5,0.5,0.5060088551549652,0.019947290420532227
LabelPropagation,0.6451612903225806,0.5,0.5,0.5060088551549652,0.0249326229095459
SVC,0.6451612903225806,0.5,0.5,0.5060088551549652,0.03689908981323242
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.02589273452758789
CalibratedClassifierCV,0.6129032258064516,0.4954545454545455,0.4954545454545454,0.5345622119815668,0.06379032135009766
RandomForestClassifier,0.6129032258064516,0.4954545454545455,0.4954545454545454,0.5345622119815668,0.24984097480773926
AdaBoostClassifier,0.5483870967741935,0.46590909090909094,0.46590909090909094,0.5187357445421961,0.2620878219604492
LogisticRegression,0.5483870967741935,0.46590909090909094,0.46590909090909094,0.5187357445421961,0.0438845157623291
PassiveAggressiveClassifier,0.5161290322580645,0.46136363636363636,0.46136363636363636,0.5105091603911431,0.0299227237701416
LinearSVC,0.5161290322580645,0.46136363636363636,0.46136363636363636,0.5105091603911431,0.035890817642211914
GaussianNB,0.3870967741935484,0.4431818181818182,0.4431818181818182,0.3730070448646644,0.031915903091430664
Perceptron,0.4838709677419355,0.43636363636363634,0.43636363636363634,0.4838709677419355,0.02294158935546875
NuSVC,0.5483870967741935,0.425,0.425,0.4569892473118279,0.04488039016723633
ExtraTreeClassifier,0.5161290322580645,0.42045454545454547,0.4204545454545454,0.471853257432005,0.021942138671875
KNeighborsClassifier,0.45161290322580644,0.3704545454545455,0.3704545454545455,0.4274489675050342,0.022938251495361328
