Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.7419354838709677,0.7386363636363636,0.7386363636363636,0.7458970005659309,0.05828404426574707
LGBMClassifier,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.12267184257507324
XGBClassifier,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.1535475254058838
DecisionTreeClassifier,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.03287172317504883
BaggingClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.08676743507385254
ExtraTreesClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.15236353874206543
BernoulliNB,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.028959989547729492
RidgeClassifierCV,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.05291938781738281
RidgeClassifier,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.03570914268493652
ExtraTreeClassifier,0.5806451612903226,0.5318181818181817,0.5318181818181819,0.575774605672324,0.02693009376525879
NearestCentroid,0.5483870967741935,0.5272727272727272,0.5272727272727272,0.5553197509903791,0.0359041690826416
LinearSVC,0.5806451612903226,0.5113636363636364,0.5113636363636364,0.5621668575038496,0.04188728332519531
PassiveAggressiveClassifier,0.5483870967741935,0.5068181818181818,0.5068181818181818,0.5483870967741935,0.03989291191101074
LabelSpreading,0.6451612903225806,0.5,0.5,0.5060088551549652,0.028186559677124023
LabelPropagation,0.6451612903225806,0.5,0.5,0.5060088551549652,0.03291177749633789
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.025968551635742188
SVC,0.6451612903225806,0.5,0.5,0.5060088551549652,0.03893780708312988
RandomForestClassifier,0.6129032258064516,0.4954545454545455,0.4954545454545454,0.5345622119815668,0.17054319381713867
CalibratedClassifierCV,0.6129032258064516,0.4954545454545455,0.4954545454545454,0.5345622119815668,0.058878421783447266
GaussianNB,0.45161290322580644,0.49318181818181817,0.49318181818181817,0.45161290322580644,0.04387092590332031
SGDClassifier,0.5161290322580645,0.4818181818181818,0.48181818181818187,0.5204444923940016,0.037895917892456055
LogisticRegression,0.5483870967741935,0.46590909090909094,0.46590909090909094,0.5187357445421961,0.07297658920288086
AdaBoostClassifier,0.5483870967741935,0.46590909090909094,0.46590909090909094,0.5187357445421961,0.2384014129638672
Perceptron,0.4838709677419355,0.45681818181818185,0.4568181818181819,0.4917940011318619,0.03789973258972168
KNeighborsClassifier,0.5483870967741935,0.4454545454545455,0.44545454545454544,0.49316269284712483,0.04188871383666992
QuadraticDiscriminantAnalysis,0.41935483870967744,0.42727272727272725,0.4272727272727273,0.43033342369205746,0.06399369239807129
NuSVC,0.5483870967741935,0.425,0.425,0.4569892473118279,0.03889584541320801
