Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
DecisionTreeClassifier,0.6129032258064516,0.5772727272727273,0.5772727272727272,0.6129032258064516,0.010970115661621094
KNeighborsClassifier,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.010969161987304688
BernoulliNB,0.6451612903225806,0.5204545454545454,0.5204545454545454,0.554919734643237,0.420452356338501
CalibratedClassifierCV,0.6451612903225806,0.5,0.5,0.5060088551549652,0.36304354667663574
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.007979154586791992
GaussianNB,0.3548387096774194,0.5,0.5,0.1858678955453149,0.00997304916381836
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5,0.5,0.5060088551549652,0.011014461517333984
ExtraTreesClassifier,0.5806451612903226,0.49090909090909096,0.49090909090909096,0.5422728231077377,0.10870981216430664
RandomForestClassifier,0.5806451612903226,0.47045454545454546,0.4704545454545454,0.514024250743537,0.1605699062347412
SGDClassifier,0.5806451612903226,0.47045454545454546,0.4704545454545454,0.514024250743537,0.010015726089477539
LinearSVC,0.5806451612903226,0.45,0.45,0.4739960500329164,0.018948078155517578
NuSVC,0.5806451612903226,0.45,0.45,0.4739960500329164,0.009973764419555664
RidgeClassifier,0.5806451612903226,0.45,0.45,0.4739960500329164,0.008976221084594727
SVC,0.5806451612903226,0.45,0.45,0.4739960500329164,0.009969711303710938
PassiveAggressiveClassifier,0.5806451612903226,0.45,0.45,0.4739960500329164,0.007978200912475586
LabelSpreading,0.5806451612903226,0.45,0.45,0.4739960500329164,0.010972261428833008
NearestCentroid,0.5806451612903226,0.45,0.45,0.4739960500329164,0.007976531982421875
LogisticRegression,0.5806451612903226,0.45,0.45,0.4739960500329164,0.0109710693359375
LinearDiscriminantAnalysis,0.5806451612903226,0.45,0.45,0.4739960500329164,0.010923147201538086
LabelPropagation,0.5806451612903226,0.45,0.45,0.4739960500329164,0.007978677749633789
RidgeClassifierCV,0.5806451612903226,0.45,0.45,0.4739960500329164,0.010877132415771484
XGBClassifier,0.5161290322580645,0.4409090909090909,0.4409090909090909,0.49480791250444184,0.08074426651000977
BaggingClassifier,0.5483870967741935,0.425,0.425,0.4569892473118279,0.5501720905303955
AdaBoostClassifier,0.4838709677419355,0.4159090909090909,0.41590909090909095,0.4703533026113671,0.3750317096710205
LGBMClassifier,0.4838709677419355,0.39545454545454545,0.3954545454545454,0.44998370804822424,0.04587721824645996
Perceptron,0.3225806451612903,0.3727272727272727,0.3727272727272727,0.307007786429366,0.009974956512451172
ExtraTreeClassifier,0.3548387096774194,0.33636363636363636,0.33636363636363636,0.36862420733388473,0.00897669792175293
