Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.7419354838709677,0.8,0.8,0.7440860215053762,0.017952680587768555
SVC,0.7741935483870968,0.7840909090909092,0.784090909090909,0.7785876198779424,0.021496295928955078
RandomForestClassifier,0.7096774193548387,0.7340909090909091,0.734090909090909,0.7158218125960061,0.15059876441955566
BaggingClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454546,0.6801075268817204,0.1595749855041504
BernoulliNB,0.6451612903225806,0.725,0.725,0.6370040786058584,0.03091716766357422
ExtraTreeClassifier,0.7096774193548387,0.6931818181818181,0.6931818181818181,0.7122666954364009,0.030878543853759766
NuSVC,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.0299224853515625
KNeighborsClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.03486752510070801
LogisticRegression,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.039893388748168945
LinearDiscriminantAnalysis,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.06283855438232422
RidgeClassifierCV,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.028786897659301758
PassiveAggressiveClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.040886878967285156
ExtraTreesClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.1436171531677246
GaussianNB,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.026950597763061523
LinearSVC,0.6129032258064516,0.6181818181818182,0.6181818181818183,0.6211745244003308,0.027916908264160156
RidgeClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818183,0.6211745244003308,0.024931669235229492
SGDClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818183,0.6211745244003308,0.015903949737548828
CalibratedClassifierCV,0.6451612903225806,0.6022727272727273,0.6022727272727273,0.6410400509535049,0.04937577247619629
Perceptron,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.021941184997558594
AdaBoostClassifier,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.23238015174865723
XGBClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.22802376747131348
DecisionTreeClassifier,0.5806451612903226,0.5522727272727272,0.5522727272727272,0.584385226741468,0.021940231323242188
LGBMClassifier,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.298980712890625
LabelSpreading,0.3548387096774194,0.5,0.5,0.1858678955453149,0.06179618835449219
LabelPropagation,0.3548387096774194,0.5,0.5,0.1858678955453149,0.04691290855407715
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.022980451583862305
QuadraticDiscriminantAnalysis,0.41935483870967744,0.42727272727272725,0.42727272727272725,0.43033342369205746,0.0359041690826416
