Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.7741935483870968,0.825,0.825,0.777496882057505,0.027925729751586914
SVC,0.8064516129032258,0.8090909090909091,0.8090909090909091,0.8094227504244483,0.044887542724609375
RandomForestClassifier,0.7419354838709677,0.8,0.8,0.7440860215053762,0.17353487014770508
BernoulliNB,0.6774193548387096,0.75,0.75,0.6740591397849462,0.03191351890563965
LinearDiscriminantAnalysis,0.7096774193548387,0.7340909090909091,0.734090909090909,0.7158218125960061,0.05694913864135742
KNeighborsClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454546,0.6801075268817204,0.032874345779418945
LinearSVC,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.030917882919311523
RidgeClassifierCV,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.037062644958496094
BaggingClassifier,0.6129032258064516,0.6795454545454546,0.6795454545454546,0.6088709677419355,0.09831118583679199
PassiveAggressiveClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.03686976432800293
LogisticRegression,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.06412243843078613
RidgeClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.027124881744384766
ExtraTreesClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.13600707054138184
DecisionTreeClassifier,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.037859201431274414
NuSVC,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.0359034538269043
XGBClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.13563919067382812
GaussianNB,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.025924205780029297
Perceptron,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.0299224853515625
SGDClassifier,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.030916929244995117
CalibratedClassifierCV,0.6451612903225806,0.6022727272727273,0.6022727272727273,0.6410400509535049,0.09072017669677734
AdaBoostClassifier,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.20906400680541992
LGBMClassifier,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.1436159610748291
LabelSpreading,0.3548387096774194,0.5,0.5,0.1858678955453149,0.03494906425476074
LabelPropagation,0.3548387096774194,0.5,0.5,0.1858678955453149,0.03091597557067871
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.028476715087890625
ExtraTreeClassifier,0.45161290322580644,0.4318181818181818,0.43181818181818177,0.4622842197035745,0.03187274932861328
QuadraticDiscriminantAnalysis,0.3548387096774194,0.37727272727272726,0.37727272727272726,0.3602150537634408,0.042745113372802734
