Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.7419354838709677,0.8,0.8,0.7440860215053762,0.04886913299560547
SVC,0.7741935483870968,0.7840909090909092,0.784090909090909,0.7785876198779424,0.026927947998046875
LinearDiscriminantAnalysis,0.7419354838709677,0.759090909090909,0.759090909090909,0.7474496829335538,0.05912375450134277
BernoulliNB,0.6774193548387096,0.75,0.75,0.6740591397849462,0.025931596755981445
BaggingClassifier,0.6451612903225806,0.725,0.725,0.6370040786058584,0.09673881530761719
RandomForestClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909091,0.6503522432332222,0.23437190055847168
ExtraTreesClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909091,0.6503522432332222,0.1575789451599121
NuSVC,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.02892446517944336
KNeighborsClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.03789973258972168
LogisticRegression,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.08929896354675293
RidgeClassifierCV,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.039647817611694336
PassiveAggressiveClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.027927398681640625
GaussianNB,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.03789806365966797
SGDClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.026929378509521484
RidgeClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818183,0.6211745244003308,0.027975797653198242
CalibratedClassifierCV,0.6451612903225806,0.6022727272727273,0.6022727272727273,0.6410400509535049,0.07080960273742676
Perceptron,0.6129032258064516,0.5977272727272727,0.5977272727272727,0.6188455008488963,0.025928020477294922
LinearSVC,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.03191351890563965
AdaBoostClassifier,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,1.787665843963623
ExtraTreeClassifier,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.025931596755981445
XGBClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,1.7260267734527588
LGBMClassifier,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.5764834880828857
LabelSpreading,0.3548387096774194,0.5,0.5,0.1858678955453149,0.028920650482177734
LabelPropagation,0.3548387096774194,0.5,0.5,0.1858678955453149,0.027926206588745117
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.024933338165283203
DecisionTreeClassifier,0.4838709677419355,0.4772727272727273,0.4772727272727273,0.49489936586710775,0.030917644500732422
QuadraticDiscriminantAnalysis,0.3870967741935484,0.38181818181818183,0.38181818181818183,0.400068271036013,0.062417030334472656
