Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SVC,0.8064516129032258,0.8090909090909091,0.8090909090909091,0.8094227504244483,0.0249788761138916
NearestCentroid,0.7419354838709677,0.8,0.8,0.7440860215053762,0.025931119918823242
RandomForestClassifier,0.7096774193548387,0.7545454545454545,0.7545454545454545,0.7139245626453636,0.16539931297302246
BernoulliNB,0.6774193548387096,0.75,0.75,0.6740591397849462,0.04288530349731445
ExtraTreeClassifier,0.7096774193548387,0.7340909090909091,0.734090909090909,0.7158218125960061,0.03291177749633789
LinearDiscriminantAnalysis,0.7096774193548387,0.7340909090909091,0.734090909090909,0.7158218125960061,0.05189871788024902
ExtraTreesClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909091,0.6835185687178096,0.14963793754577637
BaggingClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909091,0.6503522432332222,0.12267446517944336
NuSVC,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.025930166244506836
KNeighborsClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.02589273452758789
LogisticRegression,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.0399317741394043
RidgeClassifierCV,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.03434443473815918
PassiveAggressiveClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.02460479736328125
Perceptron,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.023936748504638672
GaussianNB,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.023935794830322266
SGDClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.022976160049438477
RidgeClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818183,0.6211745244003308,0.04288744926452637
DecisionTreeClassifier,0.6451612903225806,0.6022727272727273,0.6022727272727273,0.6410400509535049,0.03995490074157715
LinearSVC,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.02788686752319336
AdaBoostClassifier,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.2541830539703369
CalibratedClassifierCV,0.6129032258064516,0.5772727272727273,0.5772727272727273,0.6129032258064516,0.08975672721862793
XGBClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.13759064674377441
LGBMClassifier,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.11968064308166504
LabelSpreading,0.3548387096774194,0.5,0.5,0.1858678955453149,0.024895668029785156
LabelPropagation,0.3548387096774194,0.5,0.5,0.1858678955453149,0.04591488838195801
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.03384709358215332
QuadraticDiscriminantAnalysis,0.3870967741935484,0.42272727272727273,0.42272727272727273,0.38709677419354827,0.03908681869506836
