Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.7741935483870968,0.8653846153846154,0.8653846153846154,0.8031203879401222,0.03934121131896973
SGDClassifier,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.0329132080078125
LinearSVC,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.03689765930175781
NearestCentroid,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.024932384490966797
BernoulliNB,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.022939205169677734
LogisticRegression,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.05585169792175293
ExtraTreeClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.023934602737426758
RidgeClassifierCV,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.03681302070617676
RidgeClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.0359036922454834
PassiveAggressiveClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.028928279876708984
Perceptron,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.03390932083129883
SVC,0.9032258064516129,0.7,0.7,0.8851277754503561,0.043882131576538086
LinearDiscriminantAnalysis,0.7419354838709677,0.6846153846153846,0.6846153846153846,0.7680491551459292,0.07081294059753418
XGBClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.18996882438659668
RandomForestClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.2583351135253906
LGBMClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.1356370449066162
GaussianNB,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.05182957649230957
ExtraTreesClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.14864158630371094
AdaBoostClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.7781877517700195
KNeighborsClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.030912160873413086
CalibratedClassifierCV,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.06682109832763672
LabelSpreading,0.8387096774193549,0.5,0.5,0.7651386530843237,0.04188871383666992
LabelPropagation,0.8387096774193549,0.5,0.5,0.7651386530843237,0.022934913635253906
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.024932861328125
BaggingClassifier,0.8064516129032258,0.4807692307692308,0.4807692307692308,0.7488479262672811,0.09374570846557617
DecisionTreeClassifier,0.6451612903225806,0.38461538461538464,0.3846153846153846,0.6578115117014547,0.026927947998046875
