Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.027925491333007812
LogisticRegression,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.042885780334472656
BernoulliNB,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.03191494941711426
Perceptron,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.02792501449584961
NearestCentroid,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.025933265686035156
SGDClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.04887032508850098
RidgeClassifierCV,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.07978701591491699
RidgeClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.05485272407531738
PassiveAggressiveClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.04886746406555176
LinearSVC,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.028922557830810547
SVC,0.9032258064516129,0.7,0.7,0.8851277754503561,0.07280421257019043
RandomForestClassifier,0.9032258064516129,0.7,0.7,0.8851277754503561,1.870696783065796
LinearDiscriminantAnalysis,0.7419354838709677,0.6846153846153846,0.6846153846153846,0.7680491551459292,0.05086231231689453
XGBClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.34607505798339844
LGBMClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.3061795234680176
GaussianNB,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.044878244400024414
ExtraTreesClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.18849778175354004
AdaBoostClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.3516120910644531
KNeighborsClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.0359036922454834
BaggingClassifier,0.8387096774193549,0.5807692307692308,0.5807692307692307,0.8085462924172602,0.12067723274230957
QuadraticDiscriminantAnalysis,0.6774193548387096,0.5653846153846154,0.5653846153846155,0.7100614439324116,0.06633424758911133
CalibratedClassifierCV,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.06881546974182129
LabelSpreading,0.8387096774193549,0.5,0.5,0.7651386530843237,0.04288458824157715
LabelPropagation,0.8387096774193549,0.5,0.5,0.7651386530843237,0.042886972427368164
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.026927471160888672
DecisionTreeClassifier,0.6451612903225806,0.4653846153846154,0.46538461538461545,0.6752418088823618,0.036901235580444336
