Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.02892303466796875
NearestCentroid,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.030895709991455078
LogisticRegression,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.05088448524475098
RidgeClassifierCV,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.04292559623718262
RidgeClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.027924776077270508
LinearSVC,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.04587697982788086
LinearDiscriminantAnalysis,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.06682181358337402
PassiveAggressiveClassifier,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.029919862747192383
SVC,0.9032258064516129,0.7,0.7,0.8851277754503561,0.03743553161621094
RandomForestClassifier,0.9032258064516129,0.7,0.7,0.8851277754503561,0.2120065689086914
XGBClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.15358662605285645
LGBMClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.135636568069458
GaussianNB,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.029919862747192383
ExtraTreesClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.16011810302734375
AdaBoostClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.5400376319885254
KNeighborsClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.028885602951049805
Perceptron,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.029103994369506836
SGDClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.029880762100219727
ExtraTreeClassifier,0.7419354838709677,0.6038461538461539,0.6038461538461538,0.7582795698924732,0.029919862747192383
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5846153846153846,0.5846153846153845,0.7342887527219325,0.047873497009277344
CalibratedClassifierCV,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.06881546974182129
LabelSpreading,0.8387096774193549,0.5,0.5,0.7651386530843237,0.031874656677246094
LabelPropagation,0.8387096774193549,0.5,0.5,0.7651386530843237,0.04894876480102539
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.02792644500732422
BaggingClassifier,0.8064516129032258,0.4807692307692308,0.4807692307692308,0.7488479262672811,0.0967409610748291
DecisionTreeClassifier,0.6129032258064516,0.36538461538461536,0.3653846153846154,0.6374193548387097,0.032912492752075195
