Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
KNeighborsClassifier,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.013963699340820312
AdaBoostClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.11469435691833496
XGBClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.06732749938964844
LGBMClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.043883323669433594
ExtraTreesClassifier,0.8709677419354839,0.6,0.6,0.8325652841781874,0.16755175590515137
DecisionTreeClassifier,0.7096774193548387,0.5846153846153846,0.5846153846153845,0.7342887527219325,0.011968612670898438
GaussianNB,0.22580645161290322,0.5384615384615384,0.5384615384615384,0.167253998373543,0.008975982666015625
ExtraTreeClassifier,0.7419354838709677,0.5230769230769231,0.523076923076923,0.7419354838709677,0.008975505828857422
PassiveAggressiveClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.00897669792175293
SVC,0.8387096774193549,0.5,0.5,0.7651386530843237,0.008973836898803711
SGDClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.00893855094909668
RidgeClassifierCV,0.8387096774193549,0.5,0.5,0.7651386530843237,0.01100921630859375
RidgeClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.01001429557800293
RandomForestClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.14560937881469727
QuadraticDiscriminantAnalysis,0.8387096774193549,0.5,0.5,0.7651386530843237,0.011053323745727539
NearestCentroid,0.8387096774193549,0.5,0.5,0.7651386530843237,0.007978439331054688
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.008974790573120117
LogisticRegression,0.8387096774193549,0.5,0.5,0.7651386530843237,0.010970354080200195
BaggingClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.03091716766357422
LinearDiscriminantAnalysis,0.8387096774193549,0.5,0.5,0.7651386530843237,0.011968612670898438
LabelSpreading,0.8387096774193549,0.5,0.5,0.7651386530843237,0.009973287582397461
LabelPropagation,0.8387096774193549,0.5,0.5,0.7651386530843237,0.012964963912963867
CalibratedClassifierCV,0.8387096774193549,0.5,0.5,0.7651386530843237,0.06384944915771484
LinearSVC,0.8387096774193549,0.5,0.5,0.7651386530843237,0.020943403244018555
Perceptron,0.8064516129032258,0.4807692307692308,0.4807692307692308,0.7488479262672811,0.007978677749633789
BernoulliNB,0.8064516129032258,0.4807692307692308,0.4807692307692308,0.7488479262672811,0.007977962493896484
