Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.02991938591003418
ExtraTreeClassifier,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.0408930778503418
SVC,0.7096774193548387,0.6911764705882353,0.6911764705882353,0.6967310389470278,0.0718080997467041
KNeighborsClassifier,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.034905433654785156
PassiveAggressiveClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.10272431373596191
LogisticRegression,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.04587864875793457
NearestCentroid,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.027923107147216797
LinearSVC,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.04188895225524902
RidgeClassifierCV,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.08676767349243164
AdaBoostClassifier,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,1.8303921222686768
ExtraTreesClassifier,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,0.24337363243103027
Perceptron,0.6129032258064516,0.6092436974789917,0.6092436974789915,0.6129032258064516,0.1047213077545166
RidgeClassifier,0.6129032258064516,0.6092436974789917,0.6092436974789915,0.6129032258064516,0.07878994941711426
LGBMClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.20644712448120117
BaggingClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.14860010147094727
NuSVC,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.09773802757263184
RandomForestClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,2.3213133811950684
SGDClassifier,0.5806451612903226,0.5672268907563025,0.5672268907563025,0.5724847428073233,0.06135082244873047
XGBClassifier,0.5806451612903226,0.5672268907563025,0.5672268907563025,0.5724847428073233,2.235936403274536
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5504201680672269,0.5504201680672269,0.5493279569892474,0.10471749305725098
CalibratedClassifierCV,0.5806451612903226,0.5483193277310924,0.5483193277310924,0.5252102499309038,0.06582498550415039
GaussianNB,0.5161290322580645,0.5273109243697479,0.5273109243697479,0.5110729092931541,0.03889584541320801
LinearDiscriminantAnalysis,0.5161290322580645,0.5147058823529411,0.5147058823529412,0.5171402568510467,0.05884099006652832
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.05285763740539551
LabelSpreading,0.5483870967741935,0.5,0.5,0.38844086021505375,0.02892470359802246
LabelPropagation,0.5483870967741935,0.5,0.5,0.38844086021505375,0.029919862747192383
DecisionTreeClassifier,0.3870967741935484,0.37184873949579833,0.3718487394957983,0.3751700087183958,0.03889632225036621
