Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.045388221740722656
SGDClassifier,0.7096774193548387,0.6974789915966386,0.6974789915966386,0.7040278988666085,0.039894819259643555
SVC,0.7096774193548387,0.6911764705882353,0.6911764705882353,0.6967310389470278,0.03690147399902344
KNeighborsClassifier,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.0468754768371582
LogisticRegression,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.07878804206848145
PassiveAggressiveClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.10072898864746094
NearestCentroid,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.04787421226501465
LinearSVC,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.0578460693359375
RidgeClassifierCV,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.03889751434326172
Perceptron,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.029919862747192383
QuadraticDiscriminantAnalysis,0.6129032258064516,0.6281512605042017,0.6281512605042017,0.6055841691515315,0.04188680648803711
AdaBoostClassifier,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,1.9919853210449219
ExtraTreeClassifier,0.6451612903225806,0.6197478991596639,0.6197478991596639,0.6163126147390507,0.06684088706970215
RidgeClassifier,0.6129032258064516,0.6092436974789917,0.6092436974789915,0.6129032258064516,0.03242373466491699
LGBMClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.13164854049682617
NuSVC,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.04886937141418457
ExtraTreesClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.31716370582580566
RandomForestClassifier,0.6129032258064516,0.5903361344537815,0.5903361344537815,0.589149560117302,0.24933290481567383
CalibratedClassifierCV,0.6129032258064516,0.5777310924369747,0.5777310924369747,0.5493646138807429,0.10522818565368652
XGBClassifier,0.5806451612903226,0.5672268907563025,0.5672268907563025,0.5724847428073233,0.16655325889587402
LinearDiscriminantAnalysis,0.5483870967741935,0.5378151260504201,0.5378151260504201,0.5435621725944307,0.09275174140930176
GaussianNB,0.5161290322580645,0.5273109243697479,0.5273109243697479,0.5110729092931541,0.03390932083129883
BaggingClassifier,0.5483870967741935,0.5252100840336134,0.5252100840336134,0.520674486803519,0.1555922031402588
LabelSpreading,0.5483870967741935,0.5,0.5,0.38844086021505375,0.2014613151550293
LabelPropagation,0.5483870967741935,0.5,0.5,0.38844086021505375,0.03690147399902344
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.04984736442565918
DecisionTreeClassifier,0.41935483870967744,0.4012605042016807,0.4012605042016807,0.40152801358234297,0.1316697597503662
