Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
DecisionTreeClassifier,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.010969877243041992
BaggingClassifier,0.6451612903225806,0.6197478991596639,0.6197478991596639,0.6163126147390507,0.0322260856628418
QuadraticDiscriminantAnalysis,0.6451612903225806,0.6134453781512605,0.6134453781512604,0.5982548268646108,0.013962507247924805
ExtraTreeClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.007979393005371094
ExtraTreesClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.1156919002532959
AdaBoostClassifier,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.20795488357543945
XGBClassifier,0.5806451612903226,0.5609243697478992,0.5609243697478992,0.5619448340345956,0.07280302047729492
RandomForestClassifier,0.5806451612903226,0.5609243697478992,0.5609243697478992,0.5619448340345956,0.1655588150024414
KNeighborsClassifier,0.5483870967741935,0.5378151260504201,0.5378151260504201,0.5435621725944307,0.08677864074707031
NearestCentroid,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.4349219799041748
SVC,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.00997471809387207
RidgeClassifierCV,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.011612415313720703
RidgeClassifier,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.010968923568725586
NuSVC,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.027925729751586914
LinearSVC,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.4344792366027832
LogisticRegression,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.263995885848999
LinearDiscriminantAnalysis,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.10072636604309082
LabelSpreading,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.10371899604797363
LabelPropagation,0.5806451612903226,0.5357142857142857,0.5357142857142857,0.4569206131320064,0.10770583152770996
Perceptron,0.5161290322580645,0.5273109243697479,0.5273109243697479,0.5110729092931541,0.012966394424438477
LGBMClassifier,0.5161290322580645,0.5021008403361344,0.5021008403361344,0.506713164777681,0.04487943649291992
PassiveAggressiveClassifier,0.45161290322580644,0.5,0.5,0.2810035842293907,0.00997161865234375
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.008976221084594727
CalibratedClassifierCV,0.5483870967741935,0.5,0.5,0.38844086021505375,0.05186176300048828
GaussianNB,0.41935483870967744,0.4642857142857143,0.4642857142857143,0.2668621700879766,0.017950057983398438
SGDClassifier,0.41935483870967744,0.4579831932773109,0.4579831932773109,0.3129032258064516,0.0109710693359375
BernoulliNB,0.3870967741935484,0.42857142857142855,0.42857142857142855,0.2520630157539384,0.00897669792175293
