Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.967741935483871,0.9761904761904763,,0.9679126130739034,0.1066751480102539
BaggingClassifier,0.967741935483871,0.9761904761904763,,0.9679126130739034,0.03195619583129883
RandomForestClassifier,0.9032258064516129,0.9095238095238095,,0.9041140036471107,1.4891648292541504
DecisionTreeClassifier,0.9032258064516129,0.9047619047619048,,0.9046594982078853,0.010013580322265625
KNeighborsClassifier,0.8709677419354839,0.8714285714285714,,0.8714797747055812,0.012101411819458008
NuSVC,0.8709677419354839,0.8571428571428572,,0.8701106436029298,0.010969161987304688
LGBMClassifier,0.8387096774193549,0.8380952380952381,,0.8401433691756273,0.07579684257507324
Perceptron,0.8387096774193549,0.8380952380952381,,0.8442928039702233,0.009974241256713867
SGDClassifier,0.8387096774193549,0.8238095238095239,,0.8392217101894522,0.010970592498779297
LinearSVC,0.8387096774193549,0.7857142857142857,,0.8214756454090482,0.03389930725097656
ExtraTreeClassifier,0.7741935483870968,0.7666666666666667,,0.7741935483870968,0.007978677749633789
AdaBoostClassifier,0.6451612903225806,0.7190476190476192,,0.6332029231564185,0.10987520217895508
CalibratedClassifierCV,0.7741935483870968,0.6904761904761906,,0.7239454094292804,0.11564850807189941
LinearDiscriminantAnalysis,0.6451612903225806,0.6428571428571429,,0.5613381123058543,0.01895904541015625
PassiveAggressiveClassifier,0.7096774193548387,0.6190476190476191,,0.6393428595875759,0.010969877243041992
QuadraticDiscriminantAnalysis,0.5161290322580645,0.4761904761904762,,0.455299539170507,0.011928558349609375
LabelPropagation,0.5161290322580645,0.40952380952380957,,0.42463751826458357,0.015957117080688477
GaussianNB,0.3225806451612903,0.4047619047619047,,0.24971537001897537,0.009975194931030273
NearestCentroid,0.2903225806451613,0.38095238095238093,,0.2007168458781362,0.00901484489440918
LabelSpreading,0.4838709677419355,0.3761904761904762,,0.37882547559966917,0.01994776725769043
LogisticRegression,0.4838709677419355,0.3761904761904762,,0.37882547559966917,0.016002178192138672
RidgeClassifier,0.45161290322580644,0.35714285714285715,,0.32951987996999255,0.08975100517272949
RidgeClassifierCV,0.45161290322580644,0.35714285714285715,,0.32951987996999255,0.009972095489501953
DummyClassifier,0.3225806451612903,0.3333333333333333,,0.15735641227380015,0.007977962493896484
BernoulliNB,0.22580645161290322,0.3333333333333333,,0.0878136200716846,0.007978439331054688
SVC,0.45161290322580644,0.3333333333333333,,0.2810035842293907,0.009974479675292969
