Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
KNeighborsClassifier,0.7419354838709677,0.7795454545454545,0.7795454545454545,0.7468148549742477,0.011002779006958008
RandomForestClassifier,0.6451612903225806,0.7045454545454546,0.7045454545454546,0.6451612903225806,0.1336824893951416
QuadraticDiscriminantAnalysis,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.010972976684570312
BaggingClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.030956268310546875
ExtraTreesClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.11028909683227539
NuSVC,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.016956090927124023
LGBMClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.04089093208312988
XGBClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.06981253623962402
AdaBoostClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.10073423385620117
LabelPropagation,0.5483870967741935,0.6090909090909091,0.6090909090909091,0.5436827956989246,0.009947061538696289
ExtraTreeClassifier,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.007982492446899414
LabelSpreading,0.4838709677419355,0.5795454545454546,0.5795454545454546,0.4452715743038324,0.023936748504638672
DecisionTreeClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.009019136428833008
LinearSVC,0.4838709677419355,0.5590909090909091,0.5590909090909092,0.4643534833288154,0.024932384490966797
NearestCentroid,0.4838709677419355,0.5386363636363636,0.5386363636363636,0.478494623655914,0.013010740280151367
BernoulliNB,0.3870967741935484,0.5045454545454545,0.5045454545454545,0.29417053259970516,0.007978677749633789
SGDClassifier,0.3870967741935484,0.5045454545454545,0.5045454545454545,0.29417053259970516,0.00897526741027832
Perceptron,0.3870967741935484,0.5045454545454545,0.5045454545454545,0.29417053259970516,0.008974790573120117
PassiveAggressiveClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.012963533401489258
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.008971929550170898
RidgeClassifier,0.3548387096774194,0.47954545454545455,0.47954545454545455,0.2360703812316716,0.009931325912475586
RidgeClassifierCV,0.3548387096774194,0.47954545454545455,0.47954545454545455,0.2360703812316716,0.010745763778686523
LogisticRegression,0.3548387096774194,0.47954545454545455,0.47954545454545455,0.2360703812316716,0.01595759391784668
LinearDiscriminantAnalysis,0.3548387096774194,0.47954545454545455,0.47954545454545455,0.2360703812316716,0.02094244956970215
GaussianNB,0.6129032258064516,0.475,0.475,0.4903225806451612,0.008938074111938477
CalibratedClassifierCV,0.3225806451612903,0.45454545454545453,0.45454545454545453,0.17309205350118015,0.04986715316772461
SVC,0.3225806451612903,0.45454545454545453,0.45454545454545453,0.17309205350118015,0.0109710693359375
