Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,1.9327528476715088
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.02193903923034668
BernoulliNB,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,1.0462720394134521
RidgeClassifierCV,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.033949851989746094
RandomForestClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.4029092788696289
LogisticRegression,0.8387096774193549,0.7550505050505051,0.7550505050505051,0.8277282086479067,0.058844804763793945
NearestCentroid,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.023934125900268555
NuSVC,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.03191423416137695
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.1326444149017334
ExtraTreesClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.2723846435546875
KNeighborsClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.027927160263061523
PassiveAggressiveClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.0438845157623291
ExtraTreeClassifier,0.7096774193548387,0.696969696969697,0.696969696969697,0.7197931887152973,0.0249326229095459
SGDClassifier,0.7419354838709677,0.6868686868686869,0.6868686868686869,0.7419354838709677,0.039853811264038086
SVC,0.8064516129032258,0.6666666666666666,0.6666666666666666,0.7696774193548387,0.025440454483032227
Perceptron,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.02193903923034668
LinearSVC,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.032911062240600586
DecisionTreeClassifier,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.05584979057312012
LinearDiscriminantAnalysis,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.08577132225036621
CalibratedClassifierCV,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.456892728805542
BaggingClassifier,0.7741935483870968,0.6439393939393939,0.6439393939393939,0.7422899680964197,0.11197113990783691
GaussianNB,0.5161290322580645,0.5934343434343434,0.5934343434343434,0.5272525027808677,0.03390932083129883
AdaBoostClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.28858494758605957
QuadraticDiscriminantAnalysis,0.45161290322580644,0.5151515151515151,0.5151515151515151,0.46421950315165,0.04089188575744629
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03091740608215332
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02692556381225586
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.05186176300048828
