Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.12562322616577148
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.02822136878967285
BaggingClassifier,0.8709677419354839,0.8106060606060606,0.8106060606060606,0.8657082748948106,0.08277630805969238
ExtraTreeClassifier,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,0.02896261215209961
RidgeClassifierCV,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.040300607681274414
NearestCentroid,0.7419354838709677,0.7853535353535352,0.7853535353535355,0.7538200339558574,0.02792501449584961
SGDClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.02593231201171875
BernoulliNB,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.02792668342590332
Perceptron,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.027925491333007812
XGBClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.14560818672180176
RandomForestClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.19248723983764648
LogisticRegression,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.04636526107788086
NuSVC,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.03191518783569336
AdaBoostClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.20050477981567383
PassiveAggressiveClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.04638242721557617
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.11819291114807129
KNeighborsClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.02892303466796875
SVC,0.8064516129032258,0.6666666666666666,0.6666666666666666,0.7696774193548387,0.02992701530456543
DecisionTreeClassifier,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.03390908241271973
LinearSVC,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.03290820121765137
LinearDiscriminantAnalysis,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.058556318283081055
CalibratedClassifierCV,0.7741935483870968,0.6439393939393939,0.6439393939393939,0.7422899680964197,0.0617523193359375
GaussianNB,0.4838709677419355,0.5707070707070707,0.5707070707070707,0.4903225806451613,0.02796649932861328
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02991795539855957
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.026931285858154297
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.04887199401855469
QuadraticDiscriminantAnalysis,0.3870967741935484,0.40404040404040403,0.4040404040404041,0.41044546850998465,0.042403459548950195
