Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.8709677419354839,0.8434343434343434,0.8434343434343433,0.8709677419354839,0.03940224647521973
XGBClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.16556859016418457
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.02898120880126953
BernoulliNB,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,0.029920101165771484
RidgeClassifierCV,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.03989148139953613
ExtraTreesClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.1606132984161377
RandomForestClassifier,0.8387096774193549,0.7550505050505051,0.7550505050505051,0.8277282086479067,1.707470178604126
LogisticRegression,0.8387096774193549,0.7550505050505051,0.7550505050505051,0.8277282086479067,0.04369521141052246
NearestCentroid,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.024971723556518555
NuSVC,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.03092026710510254
BaggingClassifier,0.8387096774193549,0.7222222222222222,0.7222222222222222,0.8159214057831569,0.09071946144104004
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.12466549873352051
PassiveAggressiveClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.04284405708312988
KNeighborsClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.029912471771240234
Perceptron,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.033910274505615234
SGDClassifier,0.7419354838709677,0.6868686868686869,0.6868686868686869,0.7419354838709677,0.029924631118774414
SVC,0.8064516129032258,0.6666666666666666,0.6666666666666666,0.7696774193548387,0.02991652488708496
DecisionTreeClassifier,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.03889751434326172
CalibratedClassifierCV,0.7741935483870968,0.6439393939393939,0.6439393939393939,0.7422899680964197,0.0638284683227539
LinearSVC,0.6774193548387096,0.6414141414141414,0.6414141414141414,0.6858678955453149,0.03176140785217285
LinearDiscriminantAnalysis,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.05906963348388672
GaussianNB,0.5161290322580645,0.5934343434343434,0.5934343434343434,0.5272525027808677,0.025972366333007812
AdaBoostClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.27829504013061523
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02892446517944336
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02988600730895996
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.024936199188232422
QuadraticDiscriminantAnalysis,0.41935483870967744,0.49242424242424243,0.49242424242424243,0.4266129032258064,0.04392218589782715
