Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.026928186416625977
XGBClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.13012218475341797
RidgeClassifierCV,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.03552508354187012
ExtraTreesClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.1850578784942627
BernoulliNB,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.022939682006835938
NearestCentroid,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.020943880081176758
SGDClassifier,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.023898839950561523
LogisticRegression,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.03789258003234863
NuSVC,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.024932861328125
KNeighborsClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.029924869537353516
PassiveAggressiveClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.02271556854248047
RandomForestClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.18055486679077148
ExtraTreeClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.030881881713867188
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.13164782524108887
BaggingClassifier,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.071807861328125
CalibratedClassifierCV,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.053852081298828125
Perceptron,0.7096774193548387,0.696969696969697,0.696969696969697,0.7197931887152973,0.022312164306640625
AdaBoostClassifier,0.7419354838709677,0.6868686868686869,0.6868686868686869,0.7419354838709677,0.21746039390563965
SVC,0.8064516129032258,0.6666666666666666,0.6666666666666666,0.7696774193548387,0.02696514129638672
LinearDiscriminantAnalysis,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.05086398124694824
LinearSVC,0.6774193548387096,0.6414141414141414,0.6414141414141414,0.6858678955453149,0.02497243881225586
DecisionTreeClassifier,0.6774193548387096,0.6085858585858586,0.6085858585858586,0.6774193548387096,0.03789877891540527
GaussianNB,0.4838709677419355,0.5707070707070707,0.5707070707070707,0.4903225806451613,0.034163475036621094
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.030916452407836914
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.030918598175048828
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03095412254333496
QuadraticDiscriminantAnalysis,0.45161290322580644,0.4494949494949495,0.4494949494949495,0.4765126416739319,0.05037856101989746
