Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.048868417739868164
AdaBoostClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.32712292671203613
GaussianNB,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.02592921257019043
NearestCentroid,0.6451612903225806,0.6515151515151515,0.6515151515151515,0.6609846441543497,0.02294135093688965
DecisionTreeClassifier,0.7419354838709677,0.6212121212121212,0.6212121212121211,0.7158218125960061,0.03291153907775879
BaggingClassifier,0.7741935483870968,0.6111111111111112,0.6111111111111112,0.7178425622448393,0.10970926284790039
QuadraticDiscriminantAnalysis,0.6774193548387096,0.6085858585858586,0.6085858585858586,0.6774193548387096,0.03989386558532715
SGDClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.027924299240112305
XGBClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.1266615390777588
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.13715577125549316
RidgeClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.04987144470214844
LinearDiscriminantAnalysis,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.06482863426208496
ExtraTreeClassifier,0.7096774193548387,0.5656565656565656,0.5656565656565656,0.6686585304096826,0.025928258895874023
RandomForestClassifier,0.7419354838709677,0.5555555555555556,0.5555555555555556,0.6585607940446649,0.24634075164794922
LogisticRegression,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.0354158878326416
Perceptron,0.5806451612903226,0.5404040404040404,0.5404040404040403,0.5952568281443184,0.027924776077270508
PassiveAggressiveClassifier,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.0249330997467041
LinearSVC,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.040889739990234375
CalibratedClassifierCV,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.10272455215454102
KNeighborsClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.030918598175048828
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.020943164825439453
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.023935556411743164
ExtraTreesClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.20333242416381836
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.025933027267456055
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.026929378509521484
RidgeClassifierCV,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.04188418388366699
