Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.026894092559814453
AdaBoostClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.23939847946166992
GaussianNB,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.02489328384399414
NearestCentroid,0.6451612903225806,0.6515151515151515,0.6515151515151515,0.6609846441543497,0.02896595001220703
Perceptron,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.03709816932678223
DecisionTreeClassifier,0.7419354838709677,0.6212121212121212,0.6212121212121211,0.7158218125960061,0.027964353561401367
BaggingClassifier,0.7741935483870968,0.6111111111111112,0.6111111111111112,0.7178425622448393,0.0827779769897461
ExtraTreeClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.025934219360351562
XGBClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.12318301200866699
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.1266613006591797
RidgeClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.031075716018676758
SGDClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.031214475631713867
LinearDiscriminantAnalysis,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.067962646484375
LogisticRegression,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.04587507247924805
PassiveAggressiveClassifier,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.03391003608703613
CalibratedClassifierCV,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.054709434509277344
KNeighborsClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.027932405471801758
ExtraTreesClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.12071824073791504
LinearSVC,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.04288649559020996
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.025937795639038086
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03390908241271973
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.023935556411743164
RandomForestClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.16657710075378418
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.030915498733520508
QuadraticDiscriminantAnalysis,0.6129032258064516,0.49747474747474746,0.4974747474747475,0.5971248246844321,0.04683327674865723
RidgeClassifierCV,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.06015920639038086
