Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.03490781784057617
ExtraTreeClassifier,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.03191399574279785
AdaBoostClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.2732691764831543
GaussianNB,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.029920101165771484
NearestCentroid,0.6451612903225806,0.6515151515151515,0.6515151515151515,0.6609846441543497,0.0299224853515625
BaggingClassifier,0.7741935483870968,0.6111111111111112,0.6111111111111112,0.7178425622448393,0.0967400074005127
XGBClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.15557003021240234
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.13116049766540527
RidgeClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.03286886215209961
Perceptron,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.046875953674316406
SGDClassifier,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.028881549835205078
LinearDiscriminantAnalysis,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.06088876724243164
DecisionTreeClassifier,0.7096774193548387,0.5656565656565656,0.5656565656565656,0.6686585304096826,0.0359039306640625
LogisticRegression,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.042061805725097656
ExtraTreesClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.17795014381408691
PassiveAggressiveClassifier,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.03187394142150879
LinearSVC,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.03489851951599121
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.047188758850097656
CalibratedClassifierCV,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.0787956714630127
KNeighborsClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.027924299240112305
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.034906625747680664
RandomForestClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.2099916934967041
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02992415428161621
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.029919862747192383
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03291130065917969
RidgeClassifierCV,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.04713726043701172
