Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.02293705940246582
AdaBoostClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.2533223628997803
GaussianNB,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.0269317626953125
NearestCentroid,0.6451612903225806,0.6515151515151515,0.6515151515151515,0.6609846441543497,0.02393341064453125
BaggingClassifier,0.7741935483870968,0.6439393939393939,0.6439393939393939,0.7422899680964197,0.06682276725769043
DecisionTreeClassifier,0.7419354838709677,0.6212121212121212,0.6212121212121211,0.7158218125960061,0.02692890167236328
XGBClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.11868119239807129
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.11170172691345215
ExtraTreesClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.14461231231689453
RidgeClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.027887582778930664
PassiveAggressiveClassifier,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.02692866325378418
LinearDiscriminantAnalysis,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.0528569221496582
RandomForestClassifier,0.7419354838709677,0.5555555555555556,0.5555555555555556,0.6585607940446649,0.18549728393554688
SGDClassifier,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.042883872985839844
Perceptron,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.024504899978637695
LogisticRegression,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.038858652114868164
ExtraTreeClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.02493596076965332
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.039495229721069336
CalibratedClassifierCV,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.052739858627319336
KNeighborsClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.02892327308654785
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02293705940246582
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.027924060821533203
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02697014808654785
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03789877891540527
RidgeClassifierCV,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.03564596176147461
LinearSVC,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.028961658477783203
