Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.7096774193548387,0.7113095238095238,0.7113095238095237,0.7309985391084612,0.04288887977600098
Perceptron,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.03494548797607422
BaggingClassifier,0.8064516129032258,0.6220238095238095,0.6220238095238094,0.7751861042183624,0.07280468940734863
RandomForestClassifier,0.8064516129032258,0.6220238095238095,0.6220238095238094,0.7751861042183624,0.15259075164794922
XGBClassifier,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.13863086700439453
LinearSVC,0.6774193548387096,0.5892857142857143,0.5892857142857143,0.6905680224403926,0.02792525291442871
SGDClassifier,0.6774193548387096,0.5892857142857143,0.5892857142857143,0.6905680224403926,0.032913923263549805
DecisionTreeClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.031954050064086914
ExtraTreesClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,1.5679261684417725
ExtraTreeClassifier,0.6451612903225806,0.5684523809523809,0.5684523809523809,0.6646426312460468,0.019948720932006836
BernoulliNB,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.023936033248901367
NuSVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.02488994598388672
SVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.026925325393676758
GaussianNB,0.6129032258064516,0.5476190476190476,0.5476190476190477,0.638318670576735,0.026928424835205078
RidgeClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.02585291862487793
RidgeClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.038278818130493164
CalibratedClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.06981396675109863
LGBMClassifier,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.10770940780639648
LogisticRegression,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.035222768783569336
LabelSpreading,0.7741935483870968,0.5,0.5,0.6756598240469208,0.026926279067993164
LabelPropagation,0.7741935483870968,0.5,0.5,0.6756598240469208,0.027926206588745117
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.02094268798828125
PassiveAggressiveClassifier,0.6129032258064516,0.49702380952380953,0.4970238095238094,0.6286816269284713,0.048870086669921875
KNeighborsClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.02792501449584961
AdaBoostClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.19448041915893555
NearestCentroid,0.6451612903225806,0.46726190476190477,0.4672619047619047,0.6351344508026535,0.019992828369140625
LinearDiscriminantAnalysis,0.5483870967741935,0.45535714285714285,0.4553571428571428,0.5780384490061908,0.05685019493103027
