Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.02692723274230957
GaussianNB,0.5161290322580645,0.6366666666666667,0.6366666666666667,0.55693112467306,0.026885271072387695
XGBClassifier,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.09824514389038086
LGBMClassifier,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.08078455924987793
BernoulliNB,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.027925729751586914
BaggingClassifier,0.7419354838709677,0.5866666666666667,0.5866666666666666,0.7419354838709676,0.07085013389587402
Perceptron,0.8387096774193549,0.5833333333333334,0.5833333333333334,0.7884373690825304,0.15658164024353027
DecisionTreeClassifier,0.6774193548387096,0.5466666666666666,0.5466666666666666,0.6937403993855608,0.019907236099243164
LinearDiscriminantAnalysis,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.027521848678588867
RandomForestClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,2.2210631370544434
AdaBoostClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.13877248764038086
ExtraTreesClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.1142129898071289
RidgeClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.05237269401550293
RidgeClassifierCV,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.05186128616333008
SVC,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.08976078033447266
PassiveAggressiveClassifier,0.7096774193548387,0.5033333333333333,0.5033333333333333,0.6993272382266689,0.01898932456970215
QuadraticDiscriminantAnalysis,0.8064516129032258,0.5,0.5,0.7200460829493087,0.07182073593139648
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.019946813583374023
CalibratedClassifierCV,0.8064516129032258,0.5,0.5,0.7200460829493087,0.06429553031921387
LabelSpreading,0.6451612903225806,0.4633333333333333,0.4633333333333334,0.6551881298425077,0.0209810733795166
LabelPropagation,0.6451612903225806,0.4633333333333333,0.4633333333333334,0.6551881298425077,0.020905494689941406
KNeighborsClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.022978782653808594
SGDClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.04787158966064453
LogisticRegression,0.7096774193548387,0.44,0.44,0.6695069993913572,0.044881582260131836
LinearSVC,0.7096774193548387,0.44,0.44,0.6695069993913572,0.03291201591491699
ExtraTreeClassifier,0.6774193548387096,0.42,0.42,0.6513647642679901,0.018988370895385742
