Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.5161290322580645,0.6366666666666667,0.6366666666666667,0.55693112467306,0.024938583374023438
XGBClassifier,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.06677579879760742
LGBMClassifier,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.05784463882446289
BernoulliNB,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.014959335327148438
Perceptron,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.019989967346191406
BaggingClassifier,0.7419354838709677,0.5866666666666667,0.5866666666666666,0.7419354838709676,0.04388236999511719
NearestCentroid,0.7096774193548387,0.5666666666666667,0.5666666666666667,0.7178811971438701,0.013924598693847656
SVC,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.013962984085083008
ExtraTreeClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.013962268829345703
DecisionTreeClassifier,0.6774193548387096,0.5466666666666666,0.5466666666666666,0.6937403993855608,0.01994609832763672
AdaBoostClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.20245862007141113
ExtraTreesClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.09873604774475098
PassiveAggressiveClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.026927471160888672
RidgeClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.014955520629882812
RidgeClassifierCV,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.016954660415649414
SGDClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.013966560363769531
QuadraticDiscriminantAnalysis,0.8064516129032258,0.5,0.5,0.7200460829493087,0.019907474517822266
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.013009071350097656
CalibratedClassifierCV,0.8064516129032258,0.5,0.5,0.7200460829493087,0.04587697982788086
LabelSpreading,0.6451612903225806,0.4633333333333333,0.4633333333333334,0.6551881298425077,0.014960289001464844
LabelPropagation,0.6451612903225806,0.4633333333333333,0.4633333333333334,0.6551881298425077,0.017993450164794922
KNeighborsClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.020894289016723633
RandomForestClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.14365553855895996
LinearSVC,0.7419354838709677,0.46,0.46,0.6869772998805257,0.01891469955444336
LinearDiscriminantAnalysis,0.7096774193548387,0.44,0.44,0.6695069993913572,0.017946720123291016
LogisticRegression,0.7096774193548387,0.44,0.44,0.6695069993913572,0.026965618133544922
