Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SGDClassifier,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.02891230583190918
RandomForestClassifier,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7617963314358002,0.1954360008239746
BaggingClassifier,0.7419354838709677,0.6785714285714286,0.6785714285714286,0.7334636689475399,0.0438840389251709
KNeighborsClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.01795172691345215
BernoulliNB,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.013961076736450195
CalibratedClassifierCV,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.043883562088012695
Perceptron,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.01396632194519043
GaussianNB,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.02193284034729004
LinearSVC,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.01899266242980957
XGBClassifier,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.0827782154083252
RidgeClassifierCV,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.03491663932800293
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.014957904815673828
DecisionTreeClassifier,0.6774193548387096,0.6309523809523809,0.6309523809523809,0.6774193548387096,0.03690147399902344
RidgeClassifier,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.016954421997070312
LinearDiscriminantAnalysis,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.01891040802001953
LogisticRegression,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.026882410049438477
SVC,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.02892279624938965
PassiveAggressiveClassifier,0.6451612903225806,0.6071428571428572,0.6071428571428572,0.6492825296916563,0.015003204345703125
AdaBoostClassifier,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.13663387298583984
ExtraTreesClassifier,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.12766695022583008
LGBMClassifier,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.05585122108459473
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.016955137252807617
LabelSpreading,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.015957355499267578
LabelPropagation,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.016996145248413086
ExtraTreeClassifier,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.0139617919921875
QuadraticDiscriminantAnalysis,0.6774193548387096,0.5,0.5,0.5471464019851118,0.01821446418762207
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.015956878662109375
