Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.8064516129032258,0.7261904761904762,0.7261904761904762,0.7906732117812062,0.1376662254333496
LGBMClassifier,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7617963314358002,0.03690028190612793
XGBClassifier,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7617963314358002,0.06179308891296387
GaussianNB,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7617963314358002,0.01990675926208496
PassiveAggressiveClassifier,0.7096774193548387,0.680952380952381,0.680952380952381,0.7130493424749915,0.011968612670898438
DecisionTreeClassifier,0.7419354838709677,0.6785714285714286,0.6785714285714286,0.7334636689475399,0.008977413177490234
NearestCentroid,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.010930299758911133
BaggingClassifier,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.03291130065917969
SGDClassifier,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.007983684539794922
NuSVC,0.7741935483870968,0.65,0.65,0.7295285359801488,0.01695537567138672
AdaBoostClassifier,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.21718621253967285
RidgeClassifierCV,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.008975744247436523
CalibratedClassifierCV,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.030916213989257812
SVC,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.008932113647460938
LabelSpreading,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.008937835693359375
LabelPropagation,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.013996124267578125
ExtraTreeClassifier,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.007978200912475586
LinearDiscriminantAnalysis,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.02094411849975586
LogisticRegression,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.011969327926635742
KNeighborsClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.015963315963745117
RidgeClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.007979154586791992
LinearSVC,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.011008501052856445
BernoulliNB,0.6451612903225806,0.5809523809523809,0.5809523809523809,0.6399494610494728,0.00797891616821289
ExtraTreesClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.11299395561218262
Perceptron,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.009013891220092773
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5547619047619048,0.5547619047619048,0.6256799493991145,0.008940458297729492
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.00797724723815918
