Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelPropagation,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.015007972717285156
LabelSpreading,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.015910863876342773
BernoulliNB,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.02094411849975586
Perceptron,0.7419354838709677,0.6977272727272728,0.6977272727272726,0.7351766513056835,0.013921499252319336
SGDClassifier,0.7096774193548387,0.6931818181818181,0.6931818181818181,0.7122666954364009,0.014961957931518555
NuSVC,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.016955852508544922
NearestCentroid,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.014958858489990234
RidgeClassifier,0.7096774193548387,0.6522727272727272,0.6522727272727272,0.6968847475026652,0.014912605285644531
RandomForestClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.1596202850341797
ExtraTreesClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.10472345352172852
DecisionTreeClassifier,0.6774193548387096,0.6272727272727273,0.6272727272727273,0.6689708141321046,0.016933202743530273
LGBMClassifier,0.6774193548387096,0.6272727272727273,0.6272727272727273,0.6689708141321046,0.05684709548950195
BaggingClassifier,0.7096774193548387,0.6113636363636363,0.6113636363636363,0.6635552505147564,0.04488253593444824
RidgeClassifierCV,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.018148422241210938
XGBClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.0787954330444336
LinearDiscriminantAnalysis,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.017558574676513672
KNeighborsClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.01994633674621582
SVC,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.014960050582885742
LogisticRegression,0.6451612903225806,0.5818181818181818,0.5818181818181819,0.6295258025032574,0.026927471160888672
GaussianNB,0.6451612903225806,0.5613636363636363,0.5613636363636364,0.6126923887834704,0.020895957946777344
LinearSVC,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.024936437606811523
ExtraTreeClassifier,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.014002084732055664
AdaBoostClassifier,0.6451612903225806,0.5409090909090909,0.5409090909090909,0.5887897506291466,0.13464069366455078
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5,0.5,0.5060088551549652,0.016954898834228516
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.014960050582885742
CalibratedClassifierCV,0.6451612903225806,0.5,0.5,0.5060088551549652,0.07483911514282227
PassiveAggressiveClassifier,0.45161290322580644,0.3704545454545455,0.3704545454545455,0.4274489675050342,0.0139617919921875
