Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelPropagation,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.015996932983398438
LabelSpreading,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.015917539596557617
BernoulliNB,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.021939516067504883
NuSVC,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.015905141830444336
NearestCentroid,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.01497507095336914
RidgeClassifier,0.7096774193548387,0.6522727272727272,0.6522727272727272,0.6968847475026652,0.014921188354492188
Perceptron,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.013958930969238281
ExtraTreeClassifier,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.015917062759399414
BaggingClassifier,0.7419354838709677,0.6363636363636364,0.6363636363636364,0.6897081413210445,0.05285978317260742
LGBMClassifier,0.6774193548387096,0.6272727272727273,0.6272727272727273,0.6689708141321046,0.05385565757751465
GaussianNB,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.01995110511779785
LinearDiscriminantAnalysis,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.01766061782836914
RandomForestClassifier,0.7096774193548387,0.6113636363636363,0.6113636363636363,0.6635552505147564,0.160614013671875
RidgeClassifierCV,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.017951488494873047
XGBClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.0817415714263916
SGDClassifier,0.6451612903225806,0.6022727272727273,0.6022727272727272,0.6410400509535049,0.014958381652832031
ExtraTreesClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.1077115535736084
SVC,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.015000343322753906
KNeighborsClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.01795196533203125
LinearSVC,0.6451612903225806,0.5818181818181818,0.5818181818181819,0.6295258025032574,0.024933338165283203
LogisticRegression,0.6451612903225806,0.5818181818181818,0.5818181818181819,0.6295258025032574,0.02696990966796875
AdaBoostClassifier,0.6451612903225806,0.5409090909090909,0.5409090909090909,0.5887897506291466,0.14158916473388672
DecisionTreeClassifier,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.01990485191345215
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5,0.5,0.5060088551549652,0.01636362075805664
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.013005733489990234
CalibratedClassifierCV,0.6451612903225806,0.5,0.5,0.5060088551549652,0.08377671241760254
PassiveAggressiveClassifier,0.4838709677419355,0.39545454545454545,0.3954545454545454,0.44998370804822424,0.015001058578491211
