Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelPropagation,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.023934125900268555
LabelSpreading,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.028923988342285156
NuSVC,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.02591228485107422
NearestCentroid,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.021959781646728516
BernoulliNB,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.017951488494873047
SGDClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.013962268829345703
RandomForestClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.2293848991394043
BaggingClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.04791069030761719
ExtraTreeClassifier,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.021944046020507812
LinearDiscriminantAnalysis,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.029921293258666992
XGBClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.07878851890563965
ExtraTreesClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.2074429988861084
RidgeClassifierCV,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.01695418357849121
Perceptron,0.6451612903225806,0.6022727272727273,0.6022727272727272,0.6410400509535049,0.022967815399169922
RidgeClassifier,0.6451612903225806,0.6022727272727273,0.6022727272727272,0.6410400509535049,0.015958070755004883
AdaBoostClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.17353606224060059
SVC,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.01994800567626953
KNeighborsClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.03091883659362793
GaussianNB,0.6451612903225806,0.5613636363636363,0.5613636363636364,0.6126923887834704,0.02792501449584961
LinearSVC,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.03689908981323242
LogisticRegression,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.03291201591491699
DecisionTreeClassifier,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.024930715560913086
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5,0.5,0.5060088551549652,0.022910356521606445
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.019944190979003906
CalibratedClassifierCV,0.6451612903225806,0.5,0.5,0.5060088551549652,0.08078908920288086
LGBMClassifier,0.5806451612903226,0.49090909090909096,0.49090909090909096,0.5422728231077377,0.05385470390319824
PassiveAggressiveClassifier,0.45161290322580644,0.3704545454545455,0.3704545454545455,0.4274489675050342,0.02094411849975586
