Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6774193548387096,0.7295454545454545,0.7295454545454546,0.6801075268817204,0.020905256271362305
DecisionTreeClassifier,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.01995110511779785
BernoulliNB,0.6451612903225806,0.7045454545454546,0.7045454545454545,0.6451612903225806,0.01496267318725586
NuSVC,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.022937536239624023
LabelPropagation,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.01591777801513672
XGBClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.0747995376586914
LabelSpreading,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.014961957931518555
RidgeClassifierCV,0.6129032258064516,0.6590909090909092,0.659090909090909,0.6161290322580646,0.01780247688293457
RandomForestClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.14162063598632812
ExtraTreesClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.10672378540039062
RidgeClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.01595759391784668
SVC,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.01994490623474121
PassiveAggressiveClassifier,0.5161290322580645,0.6045454545454545,0.6045454545454546,0.4895033282130057,0.014958381652832031
KNeighborsClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272727,0.6188455008488963,0.01799154281616211
CalibratedClassifierCV,0.6129032258064516,0.5977272727272727,0.5977272727272727,0.6188455008488963,0.07379961013793945
LogisticRegression,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.033952951431274414
Perceptron,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.014961719512939453
GaussianNB,0.6774193548387096,0.5863636363636364,0.5863636363636363,0.6379733520336606,0.021945953369140625
SGDClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.01791524887084961
AdaBoostClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.13962793350219727
LinearSVC,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.02788519859313965
LinearDiscriminantAnalysis,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.017653226852416992
ExtraTreeClassifier,0.4838709677419355,0.5386363636363636,0.5386363636363637,0.478494623655914,0.014001846313476562
BaggingClassifier,0.4838709677419355,0.5181818181818182,0.5181818181818182,0.4881720430107527,0.04591488838195801
QuadraticDiscriminantAnalysis,0.5806451612903226,0.5113636363636364,0.5113636363636364,0.5621668575038496,0.024628400802612305
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.014955997467041016
LGBMClassifier,0.41935483870967744,0.42727272727272725,0.42727272727272725,0.43033342369205746,0.06183481216430664
