Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.7096774193548387,0.7340909090909091,0.734090909090909,0.7158218125960061,0.18055033683776855
GaussianNB,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.008976459503173828
XGBClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.09075713157653809
ExtraTreesClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.18450522422790527
NearestCentroid,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.013963460922241211
LabelPropagation,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.028922319412231445
LabelSpreading,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.011968612670898438
SVC,0.6451612903225806,0.6840909090909091,0.6840909090909091,0.6503522432332222,0.01495814323425293
LinearSVC,0.6774193548387096,0.6681818181818182,0.6681818181818182,0.6823712507074136,0.012964725494384766
LogisticRegression,0.6774193548387096,0.6681818181818182,0.6681818181818182,0.6823712507074136,0.011968851089477539
RidgeClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818182,0.6823712507074136,0.011952638626098633
LinearDiscriminantAnalysis,0.6774193548387096,0.6681818181818182,0.6681818181818182,0.6823712507074136,0.009973764419555664
RidgeClassifierCV,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.014965534210205078
LGBMClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.04940152168273926
AdaBoostClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.14162063598632812
PassiveAggressiveClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.01396322250366211
BaggingClassifier,0.5806451612903226,0.6340909090909091,0.634090909090909,0.5806451612903226,0.0388951301574707
CalibratedClassifierCV,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.0359034538269043
QuadraticDiscriminantAnalysis,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.010971784591674805
ExtraTreeClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.01795029640197754
DecisionTreeClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.008973121643066406
NuSVC,0.5806451612903226,0.5727272727272728,0.5727272727272728,0.5888055797733216,0.014962196350097656
BernoulliNB,0.5161290322580645,0.5431818181818182,0.5431818181818182,0.5232076044089392,0.00897669792175293
SGDClassifier,0.5483870967741935,0.5068181818181818,0.5068181818181818,0.5483870967741935,0.015953779220581055
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.010973453521728516
KNeighborsClassifier,0.4838709677419355,0.4772727272727273,0.4772727272727273,0.49489936586710775,0.009973287582397461
Perceptron,0.4838709677419355,0.4772727272727273,0.4772727272727273,0.49489936586710775,0.008974552154541016
