Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.8064516129032258,0.8038461538461539,0.8038461538461539,0.8260368663594471,0.022941112518310547
LabelSpreading,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.022938013076782227
LabelPropagation,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.027931690216064453
LinearSVC,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.028929471969604492
LinearDiscriminantAnalysis,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.02592945098876953
NearestCentroid,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.01894974708557129
SGDClassifier,0.9032258064516129,0.7,0.7,0.8851277754503561,0.024935245513916016
DecisionTreeClassifier,0.7096774193548387,0.6653846153846154,0.6653846153846155,0.7426218256691832,0.025928735733032227
XGBClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.0857706069946289
LogisticRegression,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.033907175064086914
RidgeClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.020453453063964844
RidgeClassifierCV,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.02593088150024414
ExtraTreesClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.13415074348449707
SVC,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.026925325393676758
BernoulliNB,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.018989086151123047
Perceptron,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.01894664764404297
ExtraTreeClassifier,0.7419354838709677,0.6038461538461539,0.6038461538461538,0.7582795698924732,0.020456552505493164
RandomForestClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.3447234630584717
LGBMClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.16557049751281738
BaggingClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.05585002899169922
KNeighborsClassifier,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.024934053421020508
GaussianNB,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.029919862747192383
QuadraticDiscriminantAnalysis,0.8387096774193549,0.5,0.5,0.7651386530843237,0.031914710998535156
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.026927471160888672
CalibratedClassifierCV,0.8387096774193549,0.5,0.5,0.7651386530843237,0.06429600715637207
AdaBoostClassifier,0.7096774193548387,0.4230769230769231,0.4230769230769231,0.6962872793670115,0.15857601165771484
