Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelPropagation,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.014955997467041016
LabelSpreading,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.02194356918334961
LinearSVC,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.026927471160888672
PassiveAggressiveClassifier,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.01495981216430664
LinearDiscriminantAnalysis,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.026926279067993164
DecisionTreeClassifier,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.01894998550415039
Perceptron,0.7419354838709677,0.6846153846153846,0.6846153846153846,0.7680491551459292,0.013962984085083008
LogisticRegression,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.019946813583374023
RidgeClassifierCV,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.017327308654785156
XGBClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.07575774192810059
BaggingClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.04188680648803711
ExtraTreesClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.0997321605682373
SGDClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.014923095703125
RidgeClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.014955759048461914
BernoulliNB,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.013962984085083008
NearestCentroid,0.7741935483870968,0.6230769230769231,0.6230769230769231,0.782243689264562,0.014960050582885742
ExtraTreeClassifier,0.7096774193548387,0.5846153846153846,0.5846153846153845,0.7342887527219325,0.01392221450805664
SVC,0.8387096774193549,0.5807692307692308,0.5807692307692307,0.8085462924172602,0.0149993896484375
RandomForestClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.1366410255432129
KNeighborsClassifier,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.019950151443481445
GaussianNB,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.01795029640197754
QuadraticDiscriminantAnalysis,0.8387096774193549,0.5,0.5,0.7651386530843237,0.017029762268066406
CalibratedClassifierCV,0.8387096774193549,0.5,0.5,0.7651386530843237,0.04587697982788086
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.014998435974121094
LGBMClassifier,0.7741935483870968,0.46153846153846156,0.46153846153846156,0.7319648093841642,0.060837507247924805
AdaBoostClassifier,0.7096774193548387,0.4230769230769231,0.4230769230769231,0.6962872793670115,0.14560866355895996
