Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.008975982666015625
GaussianNB,0.7096774193548387,0.7163865546218487,0.7163865546218486,0.7096774193548386,0.01495504379272461
NearestCentroid,0.7096774193548387,0.7100840336134454,0.7100840336134453,0.7102841541106278,0.008969306945800781
PassiveAggressiveClassifier,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.010970830917358398
SVC,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.010971784591674805
RidgeClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.025936126708984375
BaggingClassifier,0.6774193548387096,0.6617647058823529,0.6617647058823529,0.6675155631013016,0.03889608383178711
RandomForestClassifier,0.6774193548387096,0.6617647058823529,0.6617647058823529,0.6675155631013016,0.13463997840881348
KNeighborsClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.012964487075805664
NuSVC,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.019908666610717773
DecisionTreeClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.013962268829345703
Perceptron,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.010012149810791016
XGBClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.0677788257598877
AdaBoostClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.13063836097717285
LabelPropagation,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.01097249984741211
LabelSpreading,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.010975122451782227
ExtraTreesClassifier,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.0987405776977539
LGBMClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.04886913299560547
ExtraTreeClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.008974313735961914
CalibratedClassifierCV,0.6129032258064516,0.5840336134453781,0.5840336134453781,0.5723502304147465,0.07180666923522949
LogisticRegression,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.014006853103637695
LinearDiscriminantAnalysis,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.010967016220092773
RidgeClassifierCV,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.015956640243530273
LinearSVC,0.5483870967741935,0.5378151260504201,0.5378151260504201,0.5435621725944307,0.019906997680664062
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5,0.5,0.38844086021505375,0.012767314910888672
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.009974241256713867
SGDClassifier,0.4838709677419355,0.4726890756302521,0.47268907563025214,0.47835676867934923,0.014997482299804688
