Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.020289897918701172
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.026929616928100586
GaussianNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.03194737434387207
PassiveAggressiveClassifier,0.7096774193548387,0.703781512605042,0.703781512605042,0.7084485407066051,0.018945693969726562
LGBMClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.07679367065429688
SVC,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.02489161491394043
RandomForestClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.1625678539276123
Perceptron,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.026891708374023438
KNeighborsClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.026895999908447266
XGBClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.09674191474914551
AdaBoostClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.2593061923980713
DecisionTreeClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.05485343933105469
RidgeClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.01998615264892578
LabelSpreading,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.026927709579467773
BaggingClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.08078312873840332
LabelPropagation,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.020944595336914062
ExtraTreesClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.13464045524597168
LogisticRegression,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.026926279067993164
NuSVC,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.0269315242767334
LinearDiscriminantAnalysis,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.02973175048828125
RidgeClassifierCV,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.027928829193115234
LinearSVC,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.03690314292907715
SGDClassifier,0.5483870967741935,0.5378151260504201,0.5378151260504201,0.5435621725944307,0.023932218551635742
ExtraTreeClassifier,0.5161290322580645,0.5147058823529411,0.5147058823529412,0.5171402568510467,0.025929927825927734
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5,0.5,0.38844086021505375,0.03741025924682617
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.05785107612609863
CalibratedClassifierCV,0.5161290322580645,0.47058823529411764,0.47058823529411764,0.37336993822923814,0.12267208099365234
