Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.01595926284790039
GaussianNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.01994633674621582
NearestCentroid,0.7096774193548387,0.7100840336134454,0.7100840336134453,0.7102841541106278,0.030957698822021484
LGBMClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.06482553482055664
SVC,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.021926403045654297
KNeighborsClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.028886795043945312
PassiveAggressiveClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.024933338165283203
NuSVC,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.028880596160888672
XGBClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.08175802230834961
AdaBoostClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.16954469680786133
LabelPropagation,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.024929523468017578
LabelSpreading,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.02892279624938965
RandomForestClassifier,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,0.16559934616088867
Perceptron,0.6129032258064516,0.615546218487395,0.615546218487395,0.6137096774193549,0.02593207359313965
RidgeClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.023894309997558594
ExtraTreesClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.11568856239318848
BaggingClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.04587745666503906
LogisticRegression,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.03390955924987793
LinearSVC,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.03985333442687988
LinearDiscriminantAnalysis,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.027963638305664062
RidgeClassifierCV,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.030916929244995117
DecisionTreeClassifier,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.01994490623474121
ExtraTreeClassifier,0.5483870967741935,0.5378151260504201,0.5378151260504201,0.5435621725944307,0.01599740982055664
CalibratedClassifierCV,0.5483870967741935,0.5063025210084033,0.5063025210084033,0.4379382889200561,0.06582188606262207
SGDClassifier,0.5161290322580645,0.5021008403361344,0.5021008403361344,0.506713164777681,0.019984006881713867
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.016956090927124023
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5,0.5,0.38844086021505375,0.031914472579956055
