Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,1.0,1.0,,1.0,0.01101064682006836
NuSVC,1.0,1.0,,1.0,0.01097249984741211
BernoulliNB,1.0,1.0,,1.0,0.008975982666015625
CalibratedClassifierCV,1.0,1.0,,1.0,0.04292416572570801
SVC,1.0,1.0,,1.0,0.014960050582885742
SGDClassifier,1.0,1.0,,1.0,0.010011911392211914
RidgeClassifierCV,1.0,1.0,,1.0,0.012779951095581055
RidgeClassifier,1.0,1.0,,1.0,0.008936643600463867
GaussianNB,1.0,1.0,,1.0,0.00894784927368164
RandomForestClassifier,1.0,1.0,,1.0,0.14561176300048828
Perceptron,1.0,1.0,,1.0,0.01496267318725586
PassiveAggressiveClassifier,1.0,1.0,,1.0,0.010970592498779297
LinearDiscriminantAnalysis,1.0,1.0,,1.0,0.011967897415161133
BaggingClassifier,1.0,1.0,,1.0,0.03689885139465332
LogisticRegression,1.0,1.0,,1.0,0.015915393829345703
NearestCentroid,1.0,1.0,,1.0,0.007978439331054688
LGBMClassifier,0.967741935483871,0.9523809523809524,,0.967269289849935,0.07675528526306152
LabelSpreading,0.967741935483871,0.9523809523809524,,0.967269289849935,0.010930299758911133
LabelPropagation,0.967741935483871,0.9523809523809524,,0.967269289849935,0.009975433349609375
ExtraTreesClassifier,0.967741935483871,0.9523809523809524,,0.967269289849935,0.0947725772857666
DecisionTreeClassifier,0.967741935483871,0.9523809523809524,,0.967269289849935,0.009931802749633789
KNeighborsClassifier,0.9032258064516129,0.8571428571428571,,0.8963406859620044,0.017953157424926758
ExtraTreeClassifier,0.7741935483870968,0.7761904761904762,,0.7795698924731183,0.008977890014648438
QuadraticDiscriminantAnalysis,0.7096774193548387,0.7190476190476192,,0.7246599434537724,0.013556241989135742
AdaBoostClassifier,0.3548387096774194,0.35714285714285715,,0.29916367980884107,0.1456127166748047
DummyClassifier,0.3225806451612903,0.3333333333333333,,0.15735641227380015,0.014993667602539062
