Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.45161290322580644,0.3412698412698412,,0.4698924731182796,0.05086183547973633
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.4139784946236559,0.023893117904663086
LinearDiscriminantAnalysis,0.41935483870967744,0.31349206349206354,,0.4096774193548387,0.024932146072387695
LogisticRegression,0.45161290322580644,0.3055555555555555,,0.4783410138248848,0.1216742992401123
RidgeClassifier,0.45161290322580644,0.2976190476190476,,0.39921798631476046,0.01699542999267578
CalibratedClassifierCV,0.3870967741935484,0.2936507936507936,,0.3311827956989247,0.555513858795166
RandomForestClassifier,0.41935483870967744,0.2936507936507936,,0.3440860215053763,0.31212329864501953
SGDClassifier,0.3870967741935484,0.2857142857142857,,0.35714285714285715,0.03793692588806152
LabelSpreading,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.0299224853515625
LabelPropagation,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.02493429183959961
BaggingClassifier,0.3225806451612903,0.246031746031746,,0.267741935483871,0.10471224784851074
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.38504864311315923,1.24761962890625
GaussianNB,0.3225806451612903,0.246031746031746,,0.23225806451612901,0.020949363708496094
Perceptron,0.25806451612903225,0.24206349206349204,,0.2772657450076805,0.0329132080078125
KNeighborsClassifier,0.3548387096774194,0.22222222222222218,,0.34330400782013687,0.03390359878540039
NearestCentroid,0.3225806451612903,0.22222222222222218,,0.35576036866359445,0.015958309173583984
ExtraTreesClassifier,0.3548387096774194,0.22222222222222218,,0.34050179211469533,0.13069415092468262
DecisionTreeClassifier,0.3225806451612903,0.20634920634920634,,0.30351906158357767,0.02788066864013672
BernoulliNB,0.2903225806451613,0.19841269841269837,,0.2660522273425499,0.012967824935913086
SVC,0.3225806451612903,0.1865079365079365,,0.2865275142314991,0.02190232276916504
LinearSVC,0.2903225806451613,0.18253968253968253,,0.3075268817204301,0.16455793380737305
ExtraTreeClassifier,0.16129032258064516,0.09523809523809523,,0.19201228878648233,0.01795196533203125
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.015954971313476562
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.08602150537634408,0.196516752243042
