Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.4838709677419355,0.3412698412698412,,0.4376344086021505,0.14162063598632812
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.41935483870967744,0.030916690826416016
RidgeClassifier,0.4838709677419355,0.32142857142857145,,0.42502443792766376,0.02992081642150879
ExtraTreeClassifier,0.3870967741935484,0.31746031746031744,,0.40706605222734255,0.014960527420043945
LinearDiscriminantAnalysis,0.45161290322580644,0.3055555555555555,,0.4301075268817204,0.019943714141845703
LogisticRegression,0.45161290322580644,0.3055555555555555,,0.4783410138248848,0.1107032299041748
SGDClassifier,0.45161290322580644,0.3055555555555555,,0.4243727598566308,0.05186128616333008
CalibratedClassifierCV,0.41935483870967744,0.3055555555555555,,0.36067588325652844,0.4766855239868164
PassiveAggressiveClassifier,0.41935483870967744,0.2936507936507936,,0.4430107526881721,0.09869122505187988
RandomForestClassifier,0.41935483870967744,0.28174603174603174,,0.34960201089233345,0.4886913299560547
LabelPropagation,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.015952587127685547
LabelSpreading,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.01699542999267578
GaussianNB,0.3548387096774194,0.2698412698412698,,0.24929693961952024,0.022939205169677734
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.38504864311315923,2.624974489212036
LinearSVC,0.3548387096774194,0.23015873015873015,,0.3763440860215054,0.09271430969238281
NearestCentroid,0.3225806451612903,0.22222222222222218,,0.35576036866359445,0.020944595336914062
KNeighborsClassifier,0.3548387096774194,0.22222222222222218,,0.34330400782013687,0.018953561782836914
BaggingClassifier,0.3225806451612903,0.2103174603174603,,0.28416422287390025,0.11664366722106934
Perceptron,0.2903225806451613,0.20634920634920634,,0.32995391705069127,0.11269879341125488
SVC,0.3225806451612903,0.1865079365079365,,0.2865275142314991,0.03390932083129883
BernoulliNB,0.2903225806451613,0.1746031746031746,,0.22734254992319508,0.0319523811340332
DecisionTreeClassifier,0.25806451612903225,0.14285714285714285,,0.23362658846529813,0.03390693664550781
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.012965679168701172
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.08602150537634408,0.21945810317993164
