Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.45161290322580644,0.3412698412698412,,0.4698924731182796,0.05290055274963379
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.41935483870967744,0.030888080596923828
LinearDiscriminantAnalysis,0.45161290322580644,0.3055555555555555,,0.4301075268817204,0.018563270568847656
LogisticRegression,0.45161290322580644,0.3055555555555555,,0.4783410138248848,0.09378385543823242
CalibratedClassifierCV,0.41935483870967744,0.3055555555555555,,0.36221198156682033,0.559502363204956
ExtraTreesClassifier,0.45161290322580644,0.3055555555555555,,0.4181259600614439,0.15658164024353027
LabelPropagation,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.015957355499267578
LabelSpreading,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.016955137252807617
RidgeClassifier,0.45161290322580644,0.27380952380952384,,0.41290322580645156,0.02198338508605957
GaussianNB,0.3548387096774194,0.2698412698412698,,0.24929693961952024,0.021939992904663086
ExtraTreeClassifier,0.3548387096774194,0.2619047619047619,,0.3588325652841782,0.013962984085083008
RandomForestClassifier,0.3548387096774194,0.246031746031746,,0.28172043010752684,0.24135422706604004
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.38504864311315923,1.2067697048187256
LinearSVC,0.3548387096774194,0.23015873015873015,,0.37204301075268814,0.12270975112915039
BaggingClassifier,0.2903225806451613,0.22222222222222218,,0.21642228739002933,0.1156919002532959
NearestCentroid,0.3225806451612903,0.22222222222222218,,0.35576036866359445,0.013968706130981445
KNeighborsClassifier,0.3548387096774194,0.22222222222222218,,0.34330400782013687,0.018949508666992188
Perceptron,0.2903225806451613,0.20634920634920634,,0.31920122887864827,0.03789663314819336
SGDClassifier,0.3225806451612903,0.19047619047619047,,0.3267281105990783,0.04188704490661621
SVC,0.3225806451612903,0.1865079365079365,,0.2865275142314991,0.026927947998046875
BernoulliNB,0.2903225806451613,0.1746031746031746,,0.22734254992319508,0.0349118709564209
DecisionTreeClassifier,0.25806451612903225,0.14285714285714285,,0.24437927663734113,0.03191566467285156
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.013962745666503906
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.08602150537634408,0.23138117790222168
