Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SGDClassifier,0.41935483870967744,0.36507936507936506,,0.39247311827956993,0.071807861328125
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.41935483870967744,0.028922319412231445
RidgeClassifier,0.4838709677419355,0.32142857142857145,,0.42502443792766376,0.02293848991394043
ExtraTreesClassifier,0.4838709677419355,0.31746031746031744,,0.43470185728250244,0.16654539108276367
Perceptron,0.3870967741935484,0.31746031746031744,,0.43317972350230416,0.04388070106506348
LinearDiscriminantAnalysis,0.45161290322580644,0.3055555555555555,,0.4301075268817204,0.021127700805664062
LogisticRegression,0.45161290322580644,0.3055555555555555,,0.4783410138248848,0.13563799858093262
CalibratedClassifierCV,0.41935483870967744,0.3055555555555555,,0.36067588325652844,2.1353023052215576
PassiveAggressiveClassifier,0.41935483870967744,0.2936507936507936,,0.4247311827956989,0.058843135833740234
RandomForestClassifier,0.3870967741935484,0.28174603174603174,,0.31212121212121213,0.3141598701477051
LabelPropagation,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.01695561408996582
LabelSpreading,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.016993045806884766
LinearSVC,0.3870967741935484,0.2777777777777778,,0.3978494623655914,0.09171772003173828
GaussianNB,0.3548387096774194,0.2698412698412698,,0.25437788018433183,0.021941661834716797
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.38504864311315923,3.2981743812561035
BaggingClassifier,0.3225806451612903,0.2341269841269841,,0.30215053763440863,0.2014167308807373
NearestCentroid,0.3225806451612903,0.22222222222222218,,0.35576036866359445,0.016955137252807617
KNeighborsClassifier,0.3548387096774194,0.22222222222222218,,0.34330400782013687,0.018948793411254883
SVC,0.3225806451612903,0.1865079365079365,,0.2838709677419355,0.04886937141418457
BernoulliNB,0.2903225806451613,0.1746031746031746,,0.22072551104809165,0.06183505058288574
ExtraTreeClassifier,0.25806451612903225,0.1388888888888889,,0.25806451612903225,0.02992725372314453
DecisionTreeClassifier,0.25806451612903225,0.1349206349206349,,0.25448028673835127,0.04886960983276367
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.021943330764770508
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.08602150537634408,0.2563595771789551
