Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.45161290322580644,0.2976190476190476,,0.4457245263696877,0.007938385009765625
KNeighborsClassifier,0.41935483870967744,0.28174603174603174,,0.3766513056835638,0.012007951736450195
Perceptron,0.3870967741935484,0.2698412698412698,,0.3901689708141321,0.029920578002929688
RandomForestClassifier,0.3870967741935484,0.2341269841269841,,0.3351648351648352,0.20844554901123047
ExtraTreesClassifier,0.3870967741935484,0.2341269841269841,,0.35360983102918586,0.1406245231628418
SGDClassifier,0.2903225806451613,0.2103174603174603,,0.24669738863287252,0.036900997161865234
GaussianNB,0.3870967741935484,0.2103174603174603,,0.32027649769585254,0.04886889457702637
LabelSpreading,0.3225806451612903,0.19841269841269837,,0.30322580645161284,0.012009859085083008
SVC,0.3870967741935484,0.19841269841269837,,0.3061955965181772,0.022937297821044922
LogisticRegression,0.3870967741935484,0.19841269841269837,,0.3466973886328725,0.02792835235595703
LGBMClassifier,0.3225806451612903,0.19841269841269837,,0.309062980030722,1.1425282955169678
LabelPropagation,0.3225806451612903,0.19841269841269837,,0.30322580645161284,0.009932279586791992
BernoulliNB,0.3548387096774194,0.19047619047619047,,0.3284457478005865,0.010971784591674805
NearestCentroid,0.25806451612903225,0.1865079365079365,,0.29892473118279567,0.008977174758911133
RidgeClassifier,0.3548387096774194,0.1865079365079365,,0.3056835637480798,0.013963937759399414
PassiveAggressiveClassifier,0.25806451612903225,0.13095238095238096,,0.24608294930875577,0.05086398124694824
LinearSVC,0.2903225806451613,0.11507936507936507,,0.25974025974025977,0.028921127319335938
BaggingClassifier,0.25806451612903225,0.10714285714285714,,0.2150537634408602,0.04783201217651367
ExtraTreeClassifier,0.1935483870967742,0.10714285714285714,,0.22887864823348694,0.007938623428344727
DecisionTreeClassifier,0.16129032258064516,0.10317460317460317,,0.18341013824884797,0.011966943740844727
RidgeClassifierCV,0.22580645161290322,0.10317460317460317,,0.16282642089093702,0.011968135833740234
CalibratedClassifierCV,0.22580645161290322,0.09126984126984126,,0.1676335050149092,0.23736333847045898
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.007020711898803711
AdaBoostClassifier,0.0,0.0,,0.0,0.1591331958770752
