Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.7741935483870968,0.7431818181818182,0.7431818181818182,0.7715709415158668,0.014947652816772461
ExtraTreeClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454545,0.6801075268817204,0.008975744247436523
LogisticRegression,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.017995119094848633
ExtraTreesClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.1047203540802002
NuSVC,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.010970830917358398
RidgeClassifierCV,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.012925148010253906
KNeighborsClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909092,0.6503522432332222,0.011961221694946289
BaggingClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.037897348403930664
RandomForestClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.1466505527496338
NearestCentroid,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.012923479080200195
LabelPropagation,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.01496124267578125
LabelSpreading,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.013963460922241211
QuadraticDiscriminantAnalysis,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.01382756233215332
XGBClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.06582236289978027
AdaBoostClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.15259265899658203
SVC,0.5806451612903226,0.6340909090909091,0.634090909090909,0.5806451612903226,0.01192927360534668
RidgeClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.017946958541870117
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.0498661994934082
LinearSVC,0.5806451612903226,0.5931818181818183,0.5931818181818183,0.5895203959720089,0.018902301788330078
BernoulliNB,0.6129032258064516,0.5772727272727273,0.5772727272727272,0.6129032258064516,0.009974241256713867
SGDClassifier,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.009015798568725586
DecisionTreeClassifier,0.5161290322580645,0.5431818181818182,0.5431818181818181,0.5232076044089392,0.014001131057739258
CalibratedClassifierCV,0.5161290322580645,0.5431818181818182,0.5431818181818181,0.5232076044089392,0.059879302978515625
Perceptron,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.009939193725585938
LinearDiscriminantAnalysis,0.4838709677419355,0.5181818181818182,0.5181818181818182,0.4881720430107527,0.01500558853149414
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.010974645614624023
PassiveAggressiveClassifier,0.41935483870967744,0.40681818181818186,0.40681818181818186,0.43176178660049624,0.014992713928222656
