Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.021940946578979492
AdaBoostClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.1735384464263916
RandomForestClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.13862872123718262
XGBClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909092,0.6503522432332222,0.18251514434814453
BernoulliNB,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.026927471160888672
ExtraTreesClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.14261722564697266
QuadraticDiscriminantAnalysis,0.5806451612903226,0.6340909090909091,0.634090909090909,0.5806451612903226,0.024892568588256836
GaussianNB,0.5483870967741935,0.6295454545454545,0.6295454545454546,0.5313092979127134,0.023961305618286133
RidgeClassifier,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.036904096603393555
RidgeClassifierCV,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.03361630439758301
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.08676695823669434
ExtraTreeClassifier,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.023936748504638672
DecisionTreeClassifier,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.02991938591003418
NearestCentroid,0.5483870967741935,0.6090909090909091,0.6090909090909091,0.5436827956989246,0.018947601318359375
BaggingClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.0638275146484375
LogisticRegression,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.027887821197509766
Perceptron,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.0229794979095459
KNeighborsClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.020918846130371094
SGDClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.025931596755981445
PassiveAggressiveClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.024936199188232422
SVC,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.0418851375579834
CalibratedClassifierCV,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.08078384399414062
LinearSVC,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.03490734100341797
LinearDiscriminantAnalysis,0.5161290322580645,0.5431818181818182,0.5431818181818181,0.5232076044089392,0.021935462951660156
LabelSpreading,0.5483870967741935,0.5272727272727272,0.5272727272727272,0.5553197509903791,0.018949270248413086
LabelPropagation,0.5483870967741935,0.5272727272727272,0.5272727272727272,0.5553197509903791,0.023935794830322266
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.021941423416137695
