Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7096774193548387,0.7340909090909091,0.7340909090909091,0.7158218125960061,0.016956567764282227
RidgeClassifierCV,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.017676115036010742
RandomForestClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.1395857334136963
KNeighborsClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.01699233055114746
NearestCentroid,0.7096774193548387,0.6931818181818181,0.6931818181818181,0.7122666954364009,0.013961076736450195
ExtraTreesClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909092,0.6503522432332222,0.10376691818237305
BernoulliNB,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.013965368270874023
BaggingClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.044882774353027344
LogisticRegression,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.020906448364257812
SVC,0.6129032258064516,0.6590909090909092,0.6590909090909092,0.6161290322580646,0.02197861671447754
QuadraticDiscriminantAnalysis,0.6129032258064516,0.6590909090909092,0.6590909090909092,0.6161290322580646,0.022601842880249023
DecisionTreeClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.018988370895385742
LabelPropagation,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.01591944694519043
LabelSpreading,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.022938966751098633
AdaBoostClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.1396639347076416
RidgeClassifier,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.01500391960144043
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.05784749984741211
XGBClassifier,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.07276630401611328
SGDClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.014960050582885742
PassiveAggressiveClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.01495981216430664
LinearDiscriminantAnalysis,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.02792501449584961
CalibratedClassifierCV,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.0657811164855957
GaussianNB,0.45161290322580644,0.5545454545454546,0.5545454545454545,0.398256320836966,0.020900964736938477
LinearSVC,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.030958890914916992
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.014962434768676758
ExtraTreeClassifier,0.4838709677419355,0.4977272727272727,0.4977272727272727,0.4936297099484955,0.014918804168701172
Perceptron,0.4838709677419355,0.4772727272727273,0.4772727272727273,0.49489936586710775,0.01495814323425293
