Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7096774193548387,0.7340909090909091,0.7340909090909091,0.7158218125960061,0.015993833541870117
KNeighborsClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.018949508666992188
NearestCentroid,0.7096774193548387,0.6931818181818181,0.6931818181818181,0.7122666954364009,0.014922142028808594
ExtraTreeClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.014957904815673828
QuadraticDiscriminantAnalysis,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.02027106285095215
RidgeClassifierCV,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.017309904098510742
GaussianNB,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.015999555587768555
RidgeClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.013962745666503906
LogisticRegression,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.02692437171936035
ExtraTreesClassifier,0.6129032258064516,0.6590909090909092,0.6590909090909092,0.6161290322580646,0.10866999626159668
SVC,0.6129032258064516,0.6590909090909092,0.6590909090909092,0.6161290322580646,0.014960289001464844
BernoulliNB,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.014959335327148438
DecisionTreeClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.017911911010742188
LabelPropagation,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.017954111099243164
LabelSpreading,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.015957117080688477
RandomForestClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.15458273887634277
AdaBoostClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.14959287643432617
LinearSVC,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.023936986923217773
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.05585050582885742
XGBClassifier,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.079742431640625
BaggingClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.06183624267578125
PassiveAggressiveClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.013964176177978516
LinearDiscriminantAnalysis,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.016982078552246094
CalibratedClassifierCV,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.06582283973693848
Perceptron,0.5483870967741935,0.5272727272727272,0.5272727272727272,0.5553197509903791,0.013966560363769531
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.015001058578491211
SGDClassifier,0.4838709677419355,0.4772727272727273,0.4772727272727273,0.49489936586710775,0.013967037200927734
